game_date,game_pk,team,player_name,batter,batter_pa_number_this_game,outs_when_up,runner_situation_start,runner_situation_before_final_pitch,runner_situation_changed_during_pa,events,inning,bat_score,fld_score
2025-03-27,ARI202503270,ARI,"Marte, Ketel",martk001,1,0,empty,empty,1,double,1,0,0
2025-03-27,ARI202503270,ARI,"Carroll, Corbin",carrc005,1,0,2B,2B,1,field_out,1,0,0
2025-03-27,ARI202503270,ARI,"Gurriel, Lourdes",gurrl001,1,1,2B,2B,1,field_out,1,0,0
2025-03-27,ARI202503270,ARI,"Naylor, Josh",naylj001,1,2,2B,2B,1,single,1,0,0
2025-03-27,ARI202503270,ARI,"Moreno, Gabriel",moreg001,1,2,1B,1B,1,field_out,1,1,0
2025-03-27,ARI202503270,ARI,"Suarez, Eugenio",suare001,1,0,empty,empty,1,home_run,2,1,3
2025-03-27,ARI202503270,ARI,"Grichuk, Randal",gricr001,1,0,empty,empty,1,field_out,2,2,3
2025-03-27,ARI202503270,ARI,"McCarthy, Jake",mccaj003,1,1,empty,empty,1,field_out,2,2,3
2025-03-27,ARI202503270,ARI,"Perdomo, Geraldo",perdg001,1,2,empty,empty,1,field_out,2,2,3
2025-03-27,ARI202503270,ARI,"Marte, Ketel",martk001,2,0,empty,empty,1,strikeout,3,2,3
2025-03-27,ARI202503270,ARI,"Carroll, Corbin",carrc005,2,1,empty,empty,1,walk,3,2,3
2025-03-27,ARI202503270,ARI,"Gurriel, Lourdes",gurrl001,2,1,1B,1B,1,field_out,3,2,3
2025-03-27,ARI202503270,ARI,"Naylor, Josh",naylj001,2,2,2B,2B,1,field_out,3,2,3
2025-03-27,ARI202503270,ARI,"Moreno, Gabriel",moreg001,2,0,empty,empty,1,single,4,2,4
2025-03-27,ARI202503270,ARI,"Suarez, Eugenio",suare001,2,0,1B,1B,1,field_out,4,2,4
2025-03-27,ARI202503270,ARI,"Grichuk, Randal",gricr001,2,1,1B,1B,1,double,4,2,4
2025-03-27,ARI202503270,ARI,"McCarthy, Jake",mccaj003,2,1,2B+3B,2B+3B,1,strikeout,4,2,4
2025-03-27,ARI202503270,ARI,"Perdomo, Geraldo",perdg001,2,2,2B+3B,2B+3B,1,single,4,2,4
2025-03-27,ARI202503270,ARI,"Marte, Ketel",martk001,3,2,1B+3B,1B+3B,1,field_out,4,3,4
2025-03-27,ARI202503270,ARI,"Carroll, Corbin",carrc005,3,0,empty,empty,1,hit_by_pitch,5,3,7
2025-03-27,ARI202503270,ARI,"Gurriel, Lourdes",gurrl001,3,0,1B,1B,1,field_out,5,3,7
2025-03-27,ARI202503270,ARI,"Naylor, Josh",naylj001,3,1,1B,1B,1,grounded_into_double_play,5,3,7
2025-03-27,ARI202503270,ARI,"Moreno, Gabriel",moreg001,3,0,empty,empty,1,walk,6,3,8
2025-03-27,ARI202503270,ARI,"Suarez, Eugenio",suare001,3,0,1B,1B,1,hit_by_pitch,6,3,8
2025-03-27,ARI202503270,ARI,"Smith, Pavin",smitp002,1,0,1B+2B,1B+2B,1,walk,6,3,8
2025-03-27,ARI202503270,ARI,"McCarthy, Jake",mccaj003,3,0,1B+2B+3B,1B+2B+3B,1,sac_fly,6,3,8
2025-03-27,ARI202503270,ARI,"Perdomo, Geraldo",perdg001,3,1,1B+3B,1B+3B,1,sac_fly,6,4,8
2025-03-27,ARI202503270,ARI,"Marte, Ketel",martk001,4,2,1B,1B,1,field_out,6,5,8
2025-03-27,ARI202503270,ARI,"Carroll, Corbin",carrc005,4,0,empty,empty,1,field_out,7,5,8
2025-03-27,ARI202503270,ARI,"Gurriel, Lourdes",gurrl001,4,1,empty,empty,1,field_out,7,5,8
2025-03-27,ARI202503270,ARI,"Naylor, Josh",naylj001,4,2,empty,empty,1,field_out,7,5,8
2025-03-27,ARI202503270,ARI,"Moreno, Gabriel",moreg001,4,0,empty,empty,1,single,8,5,8
2025-03-27,ARI202503270,ARI,"Suarez, Eugenio",suare001,4,0,1B,1B,1,strikeout,8,5,8
2025-03-27,ARI202503270,ARI,"Smith, Pavin",smitp002,2,1,1B,2B,0,strikeout,8,5,8
2025-03-27,ARI202503270,ARI,"McCarthy, Jake",mccaj003,4,2,2B,2B,1,field_out,8,5,8
2025-03-27,ARI202503270,ARI,"Perdomo, Geraldo",perdg001,4,0,empty,empty,1,field_out,9,5,10
2025-03-27,ARI202503270,ARI,"Marte, Ketel",martk001,5,1,empty,empty,1,single,9,5,10
2025-03-27,ARI202503270,ARI,"Carroll, Corbin",carrc005,5,1,1B,1B,1,double,9,5,10
2025-03-27,ARI202503270,ARI,"Gurriel, Lourdes",gurrl001,5,1,2B+3B,2B+3B,1,field_out,9,5,10
2025-03-27,ARI202503270,ARI,"Naylor, Josh",naylj001,5,2,2B,2B,1,field_out,9,6,10
2025-03-28,ARI202503280,ARI,"Carroll, Corbin",carrc005,1,0,empty,empty,1,field_out,1,0,0
2025-03-28,ARI202503280,ARI,"Marte, Ketel",martk001,1,1,empty,empty,1,single,1,0,0
2025-03-28,ARI202503280,ARI,"Gurriel, Lourdes",gurrl001,1,1,1B,1B,1,field_out,1,0,0
2025-03-28,ARI202503280,ARI,"Naylor, Josh",naylj001,1,2,1B,1B,1,field_out,1,0,0
2025-03-28,ARI202503280,ARI,"Smith, Pavin",smitp002,1,0,empty,empty,1,single,2,0,1
2025-03-28,ARI202503280,ARI,"Suarez, Eugenio",suare001,1,0,1B,1B,1,home_run,2,0,1
2025-03-28,ARI202503280,ARI,"Thomas, Alek",thoma004,1,0,empty,empty,1,double,2,2,1
2025-03-28,ARI202503280,ARI,"Perdomo, Geraldo",perdg001,1,0,2B,2B,1,field_out,2,2,1
2025-03-28,ARI202503280,ARI,"Herrera, Jose",herrj003,1,1,2B,2B,1,strikeout,2,2,1
2025-03-28,ARI202503280,ARI,"Carroll, Corbin",carrc005,2,2,2B,2B,1,field_out,2,2,1
2025-03-28,ARI202503280,ARI,"Marte, Ketel",martk001,2,0,empty,empty,1,field_out,3,2,1
2025-03-28,ARI202503280,ARI,"Gurriel, Lourdes",gurrl001,2,1,empty,empty,1,field_out,3,2,1
2025-03-28,ARI202503280,ARI,"Naylor, Josh",naylj001,2,2,empty,empty,1,field_out,3,2,1
2025-03-28,ARI202503280,ARI,"Smith, Pavin",smitp002,2,0,empty,empty,1,double,4,2,1
2025-03-28,ARI202503280,ARI,"Suarez, Eugenio",suare001,2,0,2B,2B,1,home_run,4,2,1
2025-03-28,ARI202503280,ARI,"Thomas, Alek",thoma004,2,0,empty,empty,1,double,4,4,1
