game_date,game_pk,team,player_name,batter,batter_pa_number_this_game,outs_when_up,runner_situation_start,runner_situation_before_final_pitch,runner_situation_changed_during_pa,events,inning,bat_score,fld_score
2025-03-27,SDN202503270,ATL,"Profar, Jurickson",profj001,1,0,empty,empty,1,single,1,0,0
2025-03-27,SDN202503270,ATL,"Riley, Austin",rilea001,1,0,1B,2B,0,field_out,1,0,0
2025-03-27,SDN202503270,ATL,"Olson, Matt",olsom001,1,1,2B,2B,1,walk,1,0,0
2025-03-27,SDN202503270,ATL,"Ozuna, Marcell",ozunm001,1,1,1B+2B,1B+2B,1,walk,1,0,0
2025-03-27,SDN202503270,ATL,"Albies, Ozzie",albio001,1,1,1B+2B+3B,1B+2B+3B,1,field_out,1,0,0
2025-03-27,SDN202503270,ATL,"Harris, Michael",harrm004,1,2,1B+3B,2B+3B,0,field_out,1,1,0
2025-03-27,SDN202503270,ATL,"Baldwin, Drake",baldd001,1,0,empty,empty,1,strikeout,2,1,2
2025-03-27,SDN202503270,ATL,"Arcia, Orlando",arcio002,1,1,empty,empty,1,single,2,1,2
2025-03-27,SDN202503270,ATL,"Kelenic, Jarred",kelej001,1,1,1B,1B,1,field_out,2,1,2
2025-03-27,SDN202503270,ATL,"Profar, Jurickson",profj001,2,2,1B,1B,1,strikeout,2,1,2
2025-03-27,SDN202503270,ATL,"Riley, Austin",rilea001,2,0,empty,empty,1,strikeout,3,1,2
2025-03-27,SDN202503270,ATL,"Olson, Matt",olsom001,2,1,empty,empty,1,field_out,3,1,2
2025-03-27,SDN202503270,ATL,"Ozuna, Marcell",ozunm001,2,2,empty,empty,1,walk,3,1,2
2025-03-27,SDN202503270,ATL,"Albies, Ozzie",albio001,2,2,1B,1B,1,home_run,3,1,2
2025-03-27,SDN202503270,ATL,"Harris, Michael",harrm004,2,2,empty,empty,1,single,3,3,2
2025-03-27,SDN202503270,ATL,"Baldwin, Drake",baldd001,2,2,1B,1B,1,walk,3,3,2
2025-03-27,SDN202503270,ATL,"Arcia, Orlando",arcio002,2,2,1B+2B,1B+2B,1,strikeout,3,3,2
