game_date,game_pk,team,player_name,batter,batter_pa_number_this_game,outs_when_up,runner_situation_start,runner_situation_before_final_pitch,runner_situation_changed_during_pa,events,inning,bat_score,fld_score
2025-03-27,TEX202503270,BOS,"Duran, Jarren",duraj001,1,0,empty,empty,1,field_out,1,0,0
2025-03-27,TEX202503270,BOS,"Devers, Rafael",dever001,1,1,empty,empty,1,strikeout,1,0,0
2025-03-27,TEX202503270,BOS,"Bregman, Alex",brega001,1,2,empty,empty,1,field_out,1,0,0
2025-03-27,TEX202503270,BOS,"Casas, Triston",casat001,1,0,empty,empty,1,strikeout,2,0,0
2025-03-27,TEX202503270,BOS,"Story, Trevor",stort001,1,1,empty,empty,1,strikeout,2,0,0
2025-03-27,TEX202503270,BOS,"Campbell, Kristian",campk002,1,2,empty,empty,1,strikeout,2,0,0
2025-03-27,TEX202503270,BOS,"Abreu, Wilyer",abrew002,1,0,empty,empty,1,single,3,0,1
2025-03-27,TEX202503270,BOS,"Wong, Connor",wongc001,1,0,1B,1B,1,single,3,0,1
2025-03-27,TEX202503270,BOS,"Rafaela, Ceddanne",rafac001,1,0,1B+3B,1B+3B,1,field_out,3,0,1
2025-03-27,TEX202503270,BOS,"Duran, Jarren",duraj001,2,1,1B,1B,1,field_out,3,1,1
2025-03-27,TEX202503270,BOS,"Devers, Rafael",dever001,2,2,1B,1B,1,strikeout,3,1,1
2025-03-27,TEX202503270,BOS,"Bregman, Alex",brega001,2,0,empty,empty,1,field_out,4,1,1
2025-03-27,TEX202503270,BOS,"Casas, Triston",casat001,2,1,empty,empty,1,field_out,4,1,1
2025-03-27,TEX202503270,BOS,"Story, Trevor",stort001,2,2,empty,empty,1,strikeout,4,1,1
2025-03-27,TEX202503270,BOS,"Campbell, Kristian",campk002,2,0,empty,empty,1,field_out,5,1,2
2025-03-27,TEX202503270,BOS,"Abreu, Wilyer",abrew002,2,1,empty,empty,1,home_run,5,1,2
2025-03-27,TEX202503270,BOS,"Wong, Connor",wongc001,2,1,empty,empty,1,field_out,5,2,2
2025-03-27,TEX202503270,BOS,"Rafaela, Ceddanne",rafac001,2,2,empty,empty,1,field_out,5,2,2
2025-03-27,TEX202503270,BOS,"Duran, Jarren",duraj001,3,0,empty,empty,1,strikeout,6,2,2
2025-03-27,TEX202503270,BOS,"Devers, Rafael",dever001,3,1,empty,empty,1,strikeout,6,2,2
2025-03-27,TEX202503270,BOS,"Bregman, Alex",brega001,3,2,empty,empty,1,strikeout,6,2,2
2025-03-27,TEX202503270,BOS,"Casas, Triston",casat001,3,0,empty,empty,1,field_out,7,2,2
2025-03-27,TEX202503270,BOS,"Story, Trevor",stort001,3,1,empty,empty,1,field_out,7,2,2
2025-03-27,TEX202503270,BOS,"Campbell, Kristian",campk002,3,2,empty,empty,1,walk,7,2,2
2025-03-27,TEX202503270,BOS,"Abreu, Wilyer",abrew002,3,2,1B,2B,0,walk,7,2,2
2025-03-27,TEX202503270,BOS,"Wong, Connor",wongc001,3,2,1B+2B,1B+2B,1,strikeout,7,2,2
2025-03-27,TEX202503270,BOS,"Rafaela, Ceddanne",rafac001,3,0,empty,empty,1,strikeout,8,2,2
2025-03-27,TEX202503270,BOS,"Duran, Jarren",duraj001,4,1,empty,empty,1,single,8,2,2
2025-03-27,TEX202503270,BOS,"Devers, Rafael",dever001,4,1,1B,2B,0,field_out,8,2,2
2025-03-27,TEX202503270,BOS,"Bregman, Alex",brega001,4,2,3B,3B,1,field_out,8,2,2
2025-03-27,TEX202503270,BOS,"Casas, Triston",casat001,4,0,empty,empty,1,strikeout,9,2,2
2025-03-27,TEX202503270,BOS,"Story, Trevor",stort001,4,1,empty,empty,1,walk,9,2,2
2025-03-27,TEX202503270,BOS,"Campbell, Kristian",campk002,4,1,1B,2B,0,single,9,2,2
2025-03-27,TEX202503270,BOS,"Abreu, Wilyer",abrew002,4,1,1B+3B,1B+3B,1,home_run,9,2,2
2025-03-27,TEX202503270,BOS,"Wong, Connor",wongc001,4,1,empty,empty,1,field_out,9,5,2
2025-03-27,TEX202503270,BOS,"Rafaela, Ceddanne",rafac001,4,2,empty,empty,1,strikeout,9,5,2
2025-03-28,TEX202503280,BOS,"Duran, Jarren",duraj001,1,0,empty,empty,1,field_out,1,0,0
2025-03-28,TEX202503280,BOS,"Devers, Rafael",dever001,1,1,empty,empty,1,strikeout,1,0,0
2025-03-28,TEX202503280,BOS,"Bregman, Alex",brega001,1,2,empty,empty,1,strikeout,1,0,0
2025-03-28,TEX202503280,BOS,"Casas, Triston",casat001,1,0,empty,empty,1,field_out,2,0,0
2025-03-28,TEX202503280,BOS,"Story, Trevor",stort001,1,1,empty,empty,1,field_out,2,0,0
2025-03-28,TEX202503280,BOS,"Campbell, Kristian",campk002,1,2,empty,empty,1,single,2,0,0
2025-03-28,TEX202503280,BOS,"Abreu, Wilyer",abrew002,1,2,1B,1B,1,walk,2,0,0
2025-03-28,TEX202503280,BOS,"Wong, Connor",wongc001,1,2,1B+2B,1B+2B,1,field_out,2,0,0
2025-03-28,TEX202503280,BOS,"Rafaela, Ceddanne",rafac001,1,0,empty,empty,1,field_out,3,0,0
2025-03-28,TEX202503280,BOS,"Duran, Jarren",duraj001,2,1,empty,empty,1,single,3,0,0
2025-03-28,TEX202503280,BOS,"Devers, Rafael",dever001,2,1,1B,2B,0,strikeout,3,0,0
2025-03-28,TEX202503280,BOS,"Bregman, Alex",brega001,2,2,2B,2B,1,field_out,3,0,0
2025-03-28,TEX202503280,BOS,"Casas, Triston",casat001,2,0,empty,empty,1,field_out,4,0,1
2025-03-28,TEX202503280,BOS,"Story, Trevor",stort001,2,1,empty,empty,1,single,4,0,1
2025-03-28,TEX202503280,BOS,"Campbell, Kristian",campk002,2,1,1B,2B,0,single,4,0,1
2025-03-28,TEX202503280,BOS,"Abreu, Wilyer",abrew002,2,1,1B+3B,1B+3B,1,single,4,0,1
2025-03-28,TEX202503280,BOS,"Wong, Connor",wongc001,2,1,1B+3B,1B+3B,1,grounded_into_double_play,4,1,1
2025-03-28,TEX202503280,BOS,"Rafaela, Ceddanne",rafac001,2,0,empty,empty,1,field_out,5,1,1
2025-03-28,TEX202503280,BOS,"Duran, Jarren",duraj001,3,1,empty,empty,1,field_out,5,1,1
2025-03-28,TEX202503280,BOS,"Devers, Rafael",dever001,3,2,empty,empty,1,strikeout,5,1,1
2025-03-28,TEX202503280,BOS,"Bregman, Alex",brega001,3,0,empty,empty,1,single,6,1,2
2025-03-28,TEX202503280,BOS,"Casas, Triston",casat001,3,0,1B,1B,1,strikeout,6,1,2
2025-03-28,TEX202503280,BOS,"Story, Trevor",stort001,3,1,1B,1B,1,field_out,6,1,2
2025-03-28,TEX202503280,BOS,"Campbell, Kristian",campk002,3,2,2B,2B,1,strikeout,6,1,2
2025-03-28,TEX202503280,BOS,"Abreu, Wilyer",abrew002,3,0,empty,empty,1,single,7,1,4
2025-03-28,TEX202503280,BOS,"Wong, Connor",wongc001,3,0,1B,2B,0,walk,7,1,4
2025-03-28,TEX202503280,BOS,"Rafaela, Ceddanne",rafac001,3,0,1B+2B,1B+2B,1,field_out,7,1,4
2025-03-28,TEX202503280,BOS,"Duran, Jarren",duraj001,4,1,1B+2B,1B+2B,1,single,7,1,4
2025-03-28,TEX202503280,BOS,"Devers, Rafael",dever001,4,1,1B+2B+3B,1B+2B+3B,1,strikeout,7,1,4
2025-03-28,TEX202503280,BOS,"Bregman, Alex",brega001,4,2,1B+2B+3B,1B+2B+3B,1,field_out,7,1,4
2025-03-28,TEX202503280,BOS,"Casas, Triston",casat001,4,0,empty,empty,1,field_out,8,1,4
2025-03-28,TEX202503280,BOS,"Story, Trevor",stort001,4,1,empty,empty,1,field_out,8,1,4
2025-03-28,TEX202503280,BOS,"Campbell, Kristian",campk002,4,2,empty,empty,1,field_out,8,1,4
2025-03-28,TEX202503280,BOS,"Abreu, Wilyer",abrew002,4,0,empty,empty,1,field_out,9,1,4
2025-03-28,TEX202503280,BOS,"Wong, Connor",wongc001,4,1,empty,empty,1,field_out,9,1,4
2025-03-28,TEX202503280,BOS,"Rafaela, Ceddanne",rafac001,4,2,empty,empty,1,field_out,9,1,4
2025-03-29,TEX202503290,BOS,"Duran, Jarren",duraj001,1,0,empty,empty,1,walk,1,0,0
2025-03-29,TEX202503290,BOS,"Devers, Rafael",dever001,1,0,1B,1B,1,strikeout,1,0,0
2025-03-29,TEX202503290,BOS,"Bregman, Alex",brega001,1,1,1B,1B,1,single,1,0,0
2025-03-29,TEX202503290,BOS,"Casas, Triston",casat001,1,1,1B+2B,1B+2B,1,strikeout,1,0,0
2025-03-29,TEX202503290,BOS,"Story, Trevor",stort001,1,2,1B+2B,1B+2B,1,field_out,1,0,0
2025-03-29,TEX202503290,BOS,"Abreu, Wilyer",abrew002,1,0,empty,empty,1,double,2,0,2
2025-03-29,TEX202503290,BOS,"Campbell, Kristian",campk002,1,0,2B,2B,1,walk,2,0,2
2025-03-29,TEX202503290,BOS,"Hamilton, David",hamid002,1,0,1B+2B,1B+2B,1,strikeout,2,0,2
2025-03-29,TEX202503290,BOS,"Narvaez, Carlos",narvc002,1,1,1B+2B,1B+2B,1,walk,2,0,2
2025-03-29,TEX202503290,BOS,"Duran, Jarren",duraj001,2,1,1B+2B+3B,1B+2B+3B,1,field_out,2,0,2
2025-03-29,TEX202503290,BOS,"Devers, Rafael",dever001,2,2,1B+2B+3B,1B+2B+3B,1,walk,2,0,2
2025-03-29,TEX202503290,BOS,"Bregman, Alex",brega001,2,2,1B+2B+3B,1B+2B+3B,1,field_out,2,1,2
2025-03-29,TEX202503290,BOS,"Casas, Triston",casat001,2,0,empty,empty,1,strikeout,3,1,2
2025-03-29,TEX202503290,BOS,"Story, Trevor",stort001,2,1,empty,empty,1,field_out,3,1,2
2025-03-29,TEX202503290,BOS,"Abreu, Wilyer",abrew002,2,2,empty,empty,1,field_out,3,1,2
2025-03-29,TEX202503290,BOS,"Campbell, Kristian",campk002,2,0,empty,empty,1,home_run,4,1,2
2025-03-29,TEX202503290,BOS,"Hamilton, David",hamid002,2,0,empty,empty,1,field_out,4,2,2
