game_date,game_pk,team,player_name,batter,batter_pa_number_this_game,outs_when_up,runner_situation_start,runner_situation_before_final_pitch,runner_situation_changed_during_pa,events,inning,bat_score,fld_score
2025-03-18,CHN202503180,CHN,"Happ, Ian",happi001,1,0,empty,empty,1,walk,1,0,0
2025-03-18,CHN202503180,CHN,"Suzuki, Seiya",suzus001,1,0,1B,1B,1,field_out,1,0,0
2025-03-18,CHN202503180,CHN,"Tucker, Kyle",tuckk001,1,1,1B,1B,1,field_out,1,0,0
2025-03-18,CHN202503180,CHN,"Busch, Michael",buscm003,1,2,2B,2B,1,field_out,1,0,0
2025-03-18,CHN202503180,CHN,"Shaw, Matt",shawm002,1,0,empty,empty,1,field_out,2,0,0
2025-03-18,CHN202503180,CHN,"Swanson, Dansby",swand001,1,1,empty,empty,1,single,2,0,0
2025-03-18,CHN202503180,CHN,"Crow-Armstrong, Pete",crowp001,1,1,1B,1B,1,field_out,2,0,0
2025-03-18,CHN202503180,CHN,"Amaya, Miguel",amaym001,1,2,2B,2B,1,double,2,0,0
2025-03-18,CHN202503180,CHN,"Berti, Jon",bertj001,1,2,2B,2B,1,strikeout,2,1,0
2025-03-18,CHN202503180,CHN,"Happ, Ian",happi001,2,0,empty,empty,1,single,3,1,0
2025-03-18,CHN202503180,CHN,"Suzuki, Seiya",suzus001,2,0,1B,1B,1,field_out,3,1,0
2025-03-18,CHN202503180,CHN,"Tucker, Kyle",tuckk001,2,1,2B,2B,1,field_out,3,1,0
2025-03-18,CHN202503180,CHN,"Busch, Michael",buscm003,2,2,3B,3B,1,field_out,3,1,0
2025-03-18,CHN202503180,CHN,"Shaw, Matt",shawm002,2,0,empty,empty,1,strikeout,4,1,0
2025-03-18,CHN202503180,CHN,"Swanson, Dansby",swand001,2,1,empty,empty,1,strikeout,4,1,0
2025-03-18,CHN202503180,CHN,"Crow-Armstrong, Pete",crowp001,2,2,empty,empty,1,field_out,4,1,0
2025-03-18,CHN202503180,CHN,"Amaya, Miguel",amaym001,2,0,empty,empty,1,field_out,5,1,3
