game_date,game_pk,team,player_name,batter,batter_pa_number_this_game,outs_when_up,runner_situation_start,runner_situation_before_final_pitch,runner_situation_changed_during_pa,events,inning,bat_score,fld_score
2025-03-27,CIN202503270,CIN,"Friedl, TJ",friet001,1,0,empty,empty,1,strikeout,1,0,0
2025-03-27,CIN202503270,CIN,"McLain, Matt",mclam001,1,1,empty,empty,1,strikeout,1,0,0
2025-03-27,CIN202503270,CIN,"De La Cruz, Elly",delae003,1,2,empty,empty,1,walk,1,0,0
2025-03-27,CIN202503270,CIN,"Lux, Gavin",lux-g001,1,2,1B,1B,1,walk,1,0,0
2025-03-27,CIN202503270,CIN,"Candelario, Jeimer",candj002,1,2,1B+2B,1B+2B,1,single,1,0,0
2025-03-27,CIN202503270,CIN,"Steer, Spencer",stees001,1,2,1B+3B,1B+3B,1,strikeout,1,1,0
2025-03-27,CIN202503270,CIN,"Encarnacion-Strand, Christian",encac001,1,0,empty,empty,1,field_out,2,1,0
2025-03-27,CIN202503270,CIN,"Fraley, Jake",fralj001,1,1,empty,empty,1,field_out,2,1,0
2025-03-27,CIN202503270,CIN,"Trevino, Jose",trevj001,1,2,empty,empty,1,field_out,2,1,0
2025-03-27,CIN202503270,CIN,"Friedl, TJ",friet001,2,0,empty,empty,1,single,3,1,0
2025-03-27,CIN202503270,CIN,"McLain, Matt",mclam001,2,0,1B,1B,1,field_out,3,1,0
2025-03-27,CIN202503270,CIN,"De La Cruz, Elly",delae003,2,1,1B,1B,1,single,3,1,0
2025-03-27,CIN202503270,CIN,"Lux, Gavin",lux-g001,2,1,1B+2B,1B+2B,1,single,3,1,0
2025-03-27,CIN202503270,CIN,"Candelario, Jeimer",candj002,2,1,1B+2B+3B,1B+2B+3B,1,single,3,1,0
2025-03-27,CIN202503270,CIN,"Steer, Spencer",stees001,2,2,1B,1B,1,strikeout,3,3,0
2025-03-27,CIN202503270,CIN,"Encarnacion-Strand, Christian",encac001,2,0,empty,empty,1,single,4,3,2
2025-03-27,CIN202503270,CIN,"Fraley, Jake",fralj001,2,0,1B,1B,1,field_out,4,3,2
2025-03-27,CIN202503270,CIN,"Trevino, Jose",trevj001,2,1,1B,1B,1,walk,4,3,2
2025-03-27,CIN202503270,CIN,"Friedl, TJ",friet001,3,1,1B+2B,1B+2B,1,grounded_into_double_play,4,3,2
2025-03-27,CIN202503270,CIN,"McLain, Matt",mclam001,3,0,empty,empty,1,field_out,5,3,2
2025-03-27,CIN202503270,CIN,"De La Cruz, Elly",delae003,3,1,empty,empty,1,strikeout,5,3,2
2025-03-27,CIN202503270,CIN,"Lux, Gavin",lux-g001,3,2,empty,empty,1,field_out,5,3,2
2025-03-27,CIN202503270,CIN,"Candelario, Jeimer",candj002,3,0,empty,empty,1,strikeout,6,3,2
2025-03-27,CIN202503270,CIN,"Steer, Spencer",stees001,3,1,empty,empty,1,strikeout,6,3,2
2025-03-27,CIN202503270,CIN,"Encarnacion-Strand, Christian",encac001,3,2,empty,empty,1,double,6,3,2
2025-03-27,CIN202503270,CIN,"Fraley, Jake",fralj001,3,2,2B,2B,1,field_out,6,3,2
2025-03-27,CIN202503270,CIN,"Trevino, Jose",trevj001,3,0,empty,empty,1,field_out,7,3,2
2025-03-27,CIN202503270,CIN,"Friedl, TJ",friet001,4,1,empty,empty,1,field_out,7,3,2
2025-03-27,CIN202503270,CIN,"McLain, Matt",mclam001,4,2,empty,empty,1,strikeout,7,3,2
2025-03-27,CIN202503270,CIN,"De La Cruz, Elly",delae003,4,0,empty,empty,1,field_out,8,3,2
2025-03-27,CIN202503270,CIN,"Lux, Gavin",lux-g001,4,1,empty,empty,1,field_out,8,3,2
2025-03-27,CIN202503270,CIN,"Candelario, Jeimer",candj002,4,2,empty,empty,1,walk,8,3,2
2025-03-27,CIN202503270,CIN,"Steer, Spencer",stees001,4,2,1B,1B,1,field_out,8,3,2
2025-03-27,CIN202503270,CIN,"Encarnacion-Strand, Christian",encac001,4,0,empty,empty,1,field_out,9,3,6
2025-03-27,CIN202503270,CIN,"Fraley, Jake",fralj001,4,1,empty,empty,1,field_out,9,3,6
2025-03-27,CIN202503270,CIN,"Hurtubise, Jacob",hurtj001,1,2,empty,empty,1,hit_by_pitch,9,3,6
2025-03-27,CIN202503270,CIN,"Friedl, TJ",friet001,5,2,1B,2B,0,single,9,3,6
2025-03-27,CIN202503270,CIN,"McLain, Matt",mclam001,5,2,1B,1B,1,field_out,9,4,6
2025-03-29,CIN202503290,CIN,"Friedl, TJ",friet001,1,0,empty,empty,1,strikeout,1,0,0
2025-03-29,CIN202503290,CIN,"McLain, Matt",mclam001,1,1,empty,empty,1,field_out,1,0,0
2025-03-29,CIN202503290,CIN,"De La Cruz, Elly",delae003,1,2,empty,empty,1,strikeout,1,0,0
2025-03-29,CIN202503290,CIN,"Lux, Gavin",lux-g001,1,0,empty,empty,1,field_out,2,0,1
2025-03-29,CIN202503290,CIN,"Candelario, Jeimer",candj002,1,1,empty,empty,1,walk,2,0,1
2025-03-29,CIN202503290,CIN,"Encarnacion-Strand, Christian",encac001,1,1,1B,1B,1,single,2,0,1
2025-03-29,CIN202503290,CIN,"Espinal, Santiago",espis001,1,1,1B+2B,1B+2B,1,field_out,2,0,1
2025-03-29,CIN202503290,CIN,"Fraley, Jake",fralj001,1,2,1B+3B,1B+3B,1,strikeout,2,0,1
2025-03-29,CIN202503290,CIN,"Trevino, Jose",trevj001,1,0,empty,empty,1,field_out,3,0,2
2025-03-29,CIN202503290,CIN,"Friedl, TJ",friet001,2,1,empty,empty,1,field_out,3,0,2
2025-03-29,CIN202503290,CIN,"McLain, Matt",mclam001,2,2,empty,empty,1,home_run,3,0,2
2025-03-29,CIN202503290,CIN,"De La Cruz, Elly",delae003,2,2,empty,empty,1,field_out,3,1,2
2025-03-29,CIN202503290,CIN,"Lux, Gavin",lux-g001,2,0,empty,empty,1,strikeout,4,1,2
2025-03-29,CIN202503290,CIN,"Candelario, Jeimer",candj002,2,1,empty,empty,1,single,4,1,2
2025-03-29,CIN202503290,CIN,"Encarnacion-Strand, Christian",encac001,2,1,1B,1B,1,strikeout,4,1,2
2025-03-29,CIN202503290,CIN,"Espinal, Santiago",espis001,2,2,1B,1B,1,single,4,1,2
2025-03-29,CIN202503290,CIN,"Fraley, Jake",fralj001,2,2,1B+2B,1B+2B,1,field_out,4,1,2
2025-03-29,CIN202503290,CIN,"Trevino, Jose",trevj001,2,0,empty,empty,1,field_out,5,1,2
2025-03-29,CIN202503290,CIN,"Friedl, TJ",friet001,3,1,empty,empty,1,field_out,5,1,2
2025-03-29,CIN202503290,CIN,"McLain, Matt",mclam001,3,2,empty,empty,1,double,5,1,2
2025-03-29,CIN202503290,CIN,"De La Cruz, Elly",delae003,3,2,2B,2B,1,single,5,1,2
2025-03-29,CIN202503290,CIN,"Lux, Gavin",lux-g001,3,2,1B,1B,1,field_out,5,2,2
2025-03-29,CIN202503290,CIN,"Candelario, Jeimer",candj002,3,0,empty,empty,1,strikeout,6,2,2
2025-03-29,CIN202503290,CIN,"Encarnacion-Strand, Christian",encac001,3,1,empty,empty,1,home_run,6,2,2
2025-03-29,CIN202503290,CIN,"Espinal, Santiago",espis001,3,1,empty,empty,1,single,6,3,2
2025-03-29,CIN202503290,CIN,"Fraley, Jake",fralj001,3,1,1B,1B,1,field_out,6,3,2
2025-03-29,CIN202503290,CIN,"Trevino, Jose",trevj001,3,2,1B,1B,1,field_out,6,3,2
2025-03-29,CIN202503290,CIN,"Friedl, TJ",friet001,4,0,empty,empty,1,field_out,7,3,2
2025-03-29,CIN202503290,CIN,"McLain, Matt",mclam001,4,1,empty,empty,1,strikeout,7,3,2
2025-03-29,CIN202503290,CIN,"De La Cruz, Elly",delae003,4,2,empty,empty,1,strikeout,7,3,2
2025-03-29,CIN202503290,CIN,"Lux, Gavin",lux-g001,4,0,empty,empty,1,strikeout,8,3,2
2025-03-29,CIN202503290,CIN,"Candelario, Jeimer",candj002,4,1,empty,empty,1,field_out,8,3,2
2025-03-29,CIN202503290,CIN,"Encarnacion-Strand, Christian",encac001,4,2,empty,empty,1,field_out,8,3,2
2025-03-30,CIN202503300,CIN,"McLain, Matt",mclam001,1,0,empty,empty,1,strikeout,1,0,0
2025-03-30,CIN202503300,CIN,"Espinal, Santiago",espis001,1,1,empty,empty,1,field_out,1,0,0
2025-03-30,CIN202503300,CIN,"De La Cruz, Elly",delae003,1,2,empty,empty,1,field_out,1,0,0
2025-03-30,CIN202503300,CIN,"Encarnacion-Strand, Christian",encac001,1,0,empty,empty,1,strikeout,2,0,0
2025-03-30,CIN202503300,CIN,"Candelario, Jeimer",candj002,1,1,empty,empty,1,field_out,2,0,0
2025-03-30,CIN202503300,CIN,"Steer, Spencer",stees001,1,2,empty,empty,1,field_out,2,0,0
2025-03-30,CIN202503300,CIN,"Lux, Gavin",lux-g001,1,0,empty,empty,1,field_out,3,0,0
2025-03-30,CIN202503300,CIN,"Dunn, Blake",dunnb001,1,1,empty,empty,1,strikeout,3,0,0
2025-03-30,CIN202503300,CIN,"Wynns, Austin",wynna001,1,2,empty,empty,1,field_out,3,0,0
2025-03-30,CIN202503300,CIN,"McLain, Matt",mclam001,2,0,empty,empty,1,field_out,4,0,0
2025-03-30,CIN202503300,CIN,"Espinal, Santiago",espis001,2,1,empty,empty,1,field_out,4,0,0
2025-03-30,CIN202503300,CIN,"De La Cruz, Elly",delae003,2,2,empty,empty,1,field_out,4,0,0
2025-03-30,CIN202503300,CIN,"Encarnacion-Strand, Christian",encac001,2,0,empty,empty,1,strikeout,5,0,1
2025-03-30,CIN202503300,CIN,"Candelario, Jeimer",candj002,2,1,empty,empty,1,field_out,5,0,1
2025-03-30,CIN202503300,CIN,"Steer, Spencer",stees001,2,2,empty,empty,1,field_out,5,0,1
2025-03-30,CIN202503300,CIN,"Lux, Gavin",lux-g001,2,0,empty,empty,1,single,6,0,4
2025-03-30,CIN202503300,CIN,"Dunn, Blake",dunnb001,2,0,1B,1B,1,field_out,6,0,4
2025-03-30,CIN202503300,CIN,"Wynns, Austin",wynna001,2,1,2B,2B,1,home_run,6,0,4
2025-03-30,CIN202503300,CIN,"McLain, Matt",mclam001,3,1,empty,empty,1,home_run,6,2,4
2025-03-30,CIN202503300,CIN,"Espinal, Santiago",espis001,3,1,empty,empty,1,walk,6,3,4
2025-03-30,CIN202503300,CIN,"De La Cruz, Elly",delae003,3,1,1B,1B,1,single,6,3,4
2025-03-30,CIN202503300,CIN,"Encarnacion-Strand, Christian",encac001,3,1,1B+2B,1B+2B,1,grounded_into_double_play,6,3,4
2025-03-30,CIN202503300,CIN,"Candelario, Jeimer",candj002,3,0,empty,empty,1,field_out,7,3,4
2025-03-30,CIN202503300,CIN,"Steer, Spencer",stees001,3,1,empty,empty,1,field_out,7,3,4
2025-03-30,CIN202503300,CIN,"Lux, Gavin",lux-g001,3,2,empty,empty,1,field_out,7,3,4
2025-03-30,CIN202503300,CIN,"Dunn, Blake",dunnb001,3,0,empty,empty,1,single,8,3,6
2025-03-30,CIN202503300,CIN,"Hurtubise, Jacob",hurtj001,1,0,1B,1B,1,walk,8,3,6
2025-03-30,CIN202503300,CIN,"McLain, Matt",mclam001,4,0,1B+2B,1B+2B,1,field_out,8,3,6
2025-03-30,CIN202503300,CIN,"Espinal, Santiago",espis001,4,1,2B+3B,2B+3B,1,double_play,8,3,6
2025-03-30,CIN202503300,CIN,"De La Cruz, Elly",delae003,4,0,empty,empty,1,strikeout,9,3,6
2025-03-30,CIN202503300,CIN,"Encarnacion-Strand, Christian",encac001,4,1,empty,empty,1,field_out,9,3,6
2025-03-30,CIN202503300,CIN,"Candelario, Jeimer",candj002,4,2,empty,empty,1,field_out,9,3,6
2025-03-31,CIN202503310,CIN,"Friedl, TJ",friet001,1,0,empty,empty,1,single,1,0,0
2025-03-31,CIN202503310,CIN,"McLain, Matt",mclam001,1,0,1B,1B,1,home_run,1,0,0
2025-03-31,CIN202503310,CIN,"De La Cruz, Elly",delae003,1,0,empty,empty,1,single,1,2,0
2025-03-31,CIN202503310,CIN,"Lux, Gavin",lux-g001,1,0,1B,3B,0,double,1,2,0
2025-03-31,CIN202503310,CIN,"Candelario, Jeimer",candj002,1,0,2B,2B,1,strikeout,1,3,0
2025-03-31,CIN202503310,CIN,"Encarnacion-Strand, Christian",encac001,1,1,2B,2B,1,field_out,1,3,0
2025-03-31,CIN202503310,CIN,"Steer, Spencer",stees001,1,2,2B,2B,1,field_out,1,3,0
2025-03-31,CIN202503310,CIN,"Fraley, Jake",fralj001,1,0,empty,empty,1,field_out,2,3,0
2025-03-31,CIN202503310,CIN,"Trevino, Jose",trevj001,1,1,empty,empty,1,single,2,3,0
2025-03-31,CIN202503310,CIN,"Friedl, TJ",friet001,2,1,1B,2B,0,field_out,2,3,0
2025-03-31,CIN202503310,CIN,"McLain, Matt",mclam001,2,2,3B,3B,1,walk,2,3,0
2025-03-31,CIN202503310,CIN,"De La Cruz, Elly",delae003,2,2,1B+3B,1B+3B,1,home_run,2,3,0
2025-03-31,CIN202503310,CIN,"Lux, Gavin",lux-g001,2,2,empty,empty,1,walk,2,6,0
2025-03-31,CIN202503310,CIN,"Candelario, Jeimer",candj002,2,2,1B,1B,1,single,2,6,0
2025-03-31,CIN202503310,CIN,"Encarnacion-Strand, Christian",encac001,2,2,1B+3B,1B+3B,1,strikeout,2,6,0
2025-03-31,CIN202503310,CIN,"Steer, Spencer",stees001,2,0,empty,empty,1,field_out,3,6,0
2025-03-31,CIN202503310,CIN,"Fraley, Jake",fralj001,2,1,empty,empty,1,field_out,3,6,0
2025-03-31,CIN202503310,CIN,"Trevino, Jose",trevj001,2,2,empty,empty,1,strikeout,3,6,0
2025-03-31,CIN202503310,CIN,"Friedl, TJ",friet001,3,0,empty,empty,1,walk,4,6,0
2025-03-31,CIN202503310,CIN,"McLain, Matt",mclam001,3,0,1B,2B,0,strikeout,4,6,0
2025-03-31,CIN202503310,CIN,"De La Cruz, Elly",delae003,3,1,2B,2B,1,field_out,4,6,0
2025-03-31,CIN202503310,CIN,"Lux, Gavin",lux-g001,3,2,2B,2B,1,field_out,4,6,0
2025-03-31,CIN202503310,CIN,"Candelario, Jeimer",candj002,3,0,empty,empty,1,strikeout,5,6,0
2025-03-31,CIN202503310,CIN,"Encarnacion-Strand, Christian",encac001,3,1,empty,empty,1,walk,5,6,0
2025-03-31,CIN202503310,CIN,"Steer, Spencer",stees001,3,1,1B,1B,1,grounded_into_double_play,5,6,0
2025-03-31,CIN202503310,CIN,"Fraley, Jake",fralj001,3,0,empty,empty,1,field_error,6,6,0
2025-03-31,CIN202503310,CIN,"Trevino, Jose",trevj001,3,0,1B,1B,1,single,6,6,0
2025-03-31,CIN202503310,CIN,"Friedl, TJ",friet001,4,0,1B+2B,1B+2B,1,single,6,6,0
2025-03-31,CIN202503310,CIN,"McLain, Matt",mclam001,4,0,1B+2B+3B,1B+2B+3B,1,single,6,6,0
2025-03-31,CIN202503310,CIN,"De La Cruz, Elly",delae003,4,0,1B+2B+3B,1B+2B+3B,1,double,6,7,0
2025-03-31,CIN202503310,CIN,"Lux, Gavin",lux-g001,4,0,2B+3B,2B+3B,1,field_out,6,9,0
2025-03-31,CIN202503310,CIN,"Candelario, Jeimer",candj002,4,1,2B+3B,2B+3B,1,strikeout,6,9,0
2025-03-31,CIN202503310,CIN,"Encarnacion-Strand, Christian",encac001,4,2,2B+3B,2B+3B,1,hit_by_pitch,6,9,0
2025-03-31,CIN202503310,CIN,"Steer, Spencer",stees001,4,2,1B+2B+3B,1B+2B+3B,1,single,6,9,0
2025-03-31,CIN202503310,CIN,"Fraley, Jake",fralj001,4,2,1B+2B,1B+2B,1,single,6,11,0
2025-03-31,CIN202503310,CIN,"Trevino, Jose",trevj001,4,2,1B+2B,1B+2B,1,strikeout,6,12,0
2025-03-31,CIN202503310,CIN,"Friedl, TJ",friet001,5,0,empty,empty,1,field_out,7,12,0
2025-03-31,CIN202503310,CIN,"McLain, Matt",mclam001,5,1,empty,empty,1,hit_by_pitch,7,12,0
2025-03-31,CIN202503310,CIN,"De La Cruz, Elly",delae003,5,1,1B,1B,1,home_run,7,12,0
2025-03-31,CIN202503310,CIN,"Dunn, Blake",dunnb001,1,1,empty,empty,1,field_out,7,14,0
2025-03-31,CIN202503310,CIN,"Candelario, Jeimer",candj002,5,2,empty,empty,1,strikeout,7,14,0
2025-03-31,CIN202503310,CIN,"Espinal, Santiago",espis001,1,0,empty,empty,1,field_out,8,14,1
2025-03-31,CIN202503310,CIN,"Steer, Spencer",stees001,5,1,empty,empty,1,field_out,8,14,1
2025-03-31,CIN202503310,CIN,"Fraley, Jake",fralj001,5,2,empty,empty,1,field_out,8,14,1
2025-04-01,CIN202504010,CIN,"Friedl, TJ",friet001,1,0,empty,empty,1,field_out,1,0,1
2025-04-01,CIN202504010,CIN,"McLain, Matt",mclam001,1,1,empty,empty,1,field_out,1,0,1
2025-04-01,CIN202504010,CIN,"De La Cruz, Elly",delae003,1,2,empty,empty,1,field_out,1,0,1
2025-04-01,CIN202504010,CIN,"Lux, Gavin",lux-g001,1,0,empty,empty,1,field_out,2,0,1
2025-04-01,CIN202504010,CIN,"Candelario, Jeimer",candj002,1,1,empty,empty,1,field_out,2,0,1
2025-04-01,CIN202504010,CIN,"Espinal, Santiago",espis001,1,2,empty,empty,1,field_out,2,0,1
2025-04-01,CIN202504010,CIN,"Fraley, Jake",fralj001,1,0,empty,empty,1,strikeout,3,0,1
2025-04-01,CIN202504010,CIN,"Dunn, Blake",dunnb001,1,1,empty,empty,1,strikeout,3,0,1
2025-04-01,CIN202504010,CIN,"Wynns, Austin",wynna001,1,2,empty,empty,1,strikeout,3,0,1
2025-04-01,CIN202504010,CIN,"Friedl, TJ",friet001,2,0,empty,empty,1,strikeout,4,0,1
2025-04-01,CIN202504010,CIN,"McLain, Matt",mclam001,2,1,empty,empty,1,strikeout,4,0,1
2025-04-01,CIN202504010,CIN,"De La Cruz, Elly",delae003,2,2,empty,empty,1,field_out,4,0,1
2025-04-01,CIN202504010,CIN,"Lux, Gavin",lux-g001,2,0,empty,empty,1,single,5,0,1
2025-04-01,CIN202504010,CIN,"Candelario, Jeimer",candj002,2,0,1B,1B,1,strikeout,5,0,1
2025-04-01,CIN202504010,CIN,"Espinal, Santiago",espis001,2,1,1B,1B,1,grounded_into_double_play,5,0,1
2025-04-01,CIN202504010,CIN,"Fraley, Jake",fralj001,2,0,empty,empty,1,strikeout,6,0,1
2025-04-01,CIN202504010,CIN,"Dunn, Blake",dunnb001,2,1,empty,empty,1,field_out,6,0,1
2025-04-01,CIN202504010,CIN,"Wynns, Austin",wynna001,2,2,empty,empty,1,single,6,0,1
2025-04-01,CIN202504010,CIN,"Friedl, TJ",friet001,3,2,1B,1B,1,strikeout,6,0,1
2025-04-01,CIN202504010,CIN,"McLain, Matt",mclam001,3,0,empty,empty,1,single,7,0,1
2025-04-01,CIN202504010,CIN,"De La Cruz, Elly",delae003,3,0,1B,1B,1,field_out,7,0,1
2025-04-01,CIN202504010,CIN,"Lux, Gavin",lux-g001,3,1,2B,2B,1,field_out,7,0,1
2025-04-01,CIN202504010,CIN,"Candelario, Jeimer",candj002,3,2,3B,3B,1,field_out,7,0,1
2025-04-01,CIN202504010,CIN,"Espinal, Santiago",espis001,3,0,empty,empty,1,field_out,8,0,1
2025-04-01,CIN202504010,CIN,"Fraley, Jake",fralj001,3,1,empty,empty,1,field_out,8,0,1
2025-04-01,CIN202504010,CIN,"Dunn, Blake",dunnb001,3,2,empty,empty,1,field_out,8,0,1
2025-04-01,CIN202504010,CIN,"Hurtubise, Jacob",hurtj001,1,0,empty,empty,1,single,9,0,1
2025-04-01,CIN202504010,CIN,"Friedl, TJ",friet001,4,0,1B,1B,1,field_out,9,0,1
2025-04-01,CIN202504010,CIN,"McLain, Matt",mclam001,4,1,1B,1B,1,field_out,9,0,1
2025-04-01,CIN202504010,CIN,"De La Cruz, Elly",delae003,4,2,1B,2B,0,field_out,9,0,1
2025-04-02,CIN202504020,CIN,"Friedl, TJ",friet001,1,0,empty,empty,1,field_out,1,0,0
2025-04-02,CIN202504020,CIN,"McLain, Matt",mclam001,1,1,empty,empty,1,strikeout,1,0,0
2025-04-02,CIN202504020,CIN,"De La Cruz, Elly",delae003,1,2,empty,empty,1,strikeout,1,0,0
2025-04-02,CIN202504020,CIN,"Lux, Gavin",lux-g001,1,0,empty,empty,1,field_out,2,0,0
2025-04-02,CIN202504020,CIN,"Candelario, Jeimer",candj002,1,1,empty,empty,1,strikeout,2,0,0
2025-04-02,CIN202504020,CIN,"Encarnacion-Strand, Christian",encac001,1,2,empty,empty,1,field_out,2,0,0
2025-04-02,CIN202504020,CIN,"Steer, Spencer",stees001,1,0,empty,empty,1,field_out,3,0,0
2025-04-02,CIN202504020,CIN,"Fraley, Jake",fralj001,1,1,empty,empty,1,field_out,3,0,0
2025-04-02,CIN202504020,CIN,"Trevino, Jose",trevj001,1,2,empty,empty,1,field_out,3,0,0
2025-04-02,CIN202504020,CIN,"Friedl, TJ",friet001,2,0,empty,empty,1,field_out,4,0,1
2025-04-02,CIN202504020,CIN,"McLain, Matt",mclam001,2,1,empty,empty,1,strikeout,4,0,1
2025-04-02,CIN202504020,CIN,"De La Cruz, Elly",delae003,2,2,empty,empty,1,double,4,0,1
2025-04-02,CIN202504020,CIN,"Lux, Gavin",lux-g001,2,2,2B,3B,0,strikeout,4,0,1
2025-04-02,CIN202504020,CIN,"Candelario, Jeimer",candj002,2,0,empty,empty,1,field_out,5,0,1
2025-04-02,CIN202504020,CIN,"Encarnacion-Strand, Christian",encac001,2,1,empty,empty,1,field_out,5,0,1
2025-04-02,CIN202504020,CIN,"Steer, Spencer",stees001,2,2,empty,empty,1,strikeout,5,0,1
2025-04-02,CIN202504020,CIN,"Fraley, Jake",fralj001,2,0,empty,empty,1,field_out,6,0,1
2025-04-02,CIN202504020,CIN,"Trevino, Jose",trevj001,2,1,empty,empty,1,field_out,6,0,1
2025-04-02,CIN202504020,CIN,"Friedl, TJ",friet001,3,2,empty,empty,1,field_out,6,0,1
2025-04-02,CIN202504020,CIN,"McLain, Matt",mclam001,3,0,empty,empty,1,field_error,7,0,1
2025-04-02,CIN202504020,CIN,"De La Cruz, Elly",delae003,3,0,1B,2B,0,strikeout,7,0,1
2025-04-02,CIN202504020,CIN,"Lux, Gavin",lux-g001,3,1,2B,2B,1,strikeout,7,0,1
2025-04-02,CIN202504020,CIN,"Candelario, Jeimer",candj002,3,2,2B,2B,1,field_out,7,0,1
2025-04-02,CIN202504020,CIN,"Encarnacion-Strand, Christian",encac001,3,0,empty,empty,1,strikeout,8,0,1
2025-04-02,CIN202504020,CIN,"Steer, Spencer",stees001,3,1,empty,empty,1,field_out,8,0,1
2025-04-02,CIN202504020,CIN,"Fraley, Jake",fralj001,3,2,empty,empty,1,single,8,0,1
2025-04-02,CIN202504020,CIN,"Hurtubise, Jacob",hurtj001,1,0,1B,empty,0,field_out,9,0,1
2025-04-02,CIN202504020,CIN,"Friedl, TJ",friet001,4,1,empty,empty,1,single,9,0,1
2025-04-02,CIN202504020,CIN,"McLain, Matt",mclam001,4,1,1B,1B,1,strikeout,9,0,1
2025-04-02,CIN202504020,CIN,"De La Cruz, Elly",delae003,4,2,1B,1B,1,field_out,9,0,1
2025-04-03,MIL202504030,CIN,"Friedl, TJ",friet001,1,0,empty,empty,1,walk,1,0,0
2025-04-03,MIL202504030,CIN,"McLain, Matt",mclam001,1,0,1B,1B,1,strikeout,1,0,0
2025-04-03,MIL202504030,CIN,"De La Cruz, Elly",delae003,1,1,1B,1B,1,field_out,1,0,0
2025-04-03,MIL202504030,CIN,"Encarnacion-Strand, Christian",encac001,1,2,2B,2B,1,strikeout,1,0,0
2025-04-03,MIL202504030,CIN,"Candelario, Jeimer",candj002,1,0,empty,empty,1,field_out,2,0,0
2025-04-03,MIL202504030,CIN,"Dunn, Blake",dunnb001,1,1,empty,empty,1,field_out,2,0,0
2025-04-03,MIL202504030,CIN,"Steer, Spencer",stees001,1,2,empty,empty,1,strikeout,2,0,0
2025-04-03,MIL202504030,CIN,"Espinal, Santiago",espis001,1,0,empty,empty,1,field_out,3,0,0
2025-04-03,MIL202504030,CIN,"Trevino, Jose",trevj001,1,1,empty,empty,1,double,3,0,0
2025-04-03,MIL202504030,CIN,"Friedl, TJ",friet001,2,1,2B,2B,1,field_out,3,0,0
2025-04-03,MIL202504030,CIN,"McLain, Matt",mclam001,2,2,3B,3B,1,walk,3,0,0
2025-04-03,MIL202504030,CIN,"De La Cruz, Elly",delae003,2,2,1B+3B,1B+3B,1,strikeout,3,0,0
2025-04-03,MIL202504030,CIN,"Encarnacion-Strand, Christian",encac001,2,0,empty,empty,1,field_out,4,0,0
2025-04-03,MIL202504030,CIN,"Candelario, Jeimer",candj002,2,1,empty,empty,1,field_out,4,0,0
2025-04-03,MIL202504030,CIN,"Dunn, Blake",dunnb001,2,2,empty,empty,1,strikeout,4,0,0
