game_date,game_pk,team,player_name,batter,batter_pa_number_this_game,outs_when_up,runner_situation_start,runner_situation_before_final_pitch,runner_situation_changed_during_pa,events,inning,bat_score,fld_score
2025-03-27,KCA202503270,CLE,"Kwan, Steven",kwans001,1,0,empty,empty,1,single,1,0,0
2025-03-27,KCA202503270,CLE,"Ramirez, Jose",ramij003,1,0,1B,1B,1,field_out,1,0,0
2025-03-27,KCA202503270,CLE,"Thomas, Lane",thoml002,1,1,2B,2B,1,single,1,0,0
2025-03-27,KCA202503270,CLE,"Santana, Carlos",santc002,1,1,1B+3B,1B+3B,1,field_out,1,0,0
2025-03-27,KCA202503270,CLE,"Manzardo, Kyle",manzk001,1,2,1B+3B,1B+3B,1,walk,1,0,0
2025-03-27,KCA202503270,CLE,"Noel, Jhonkensy",noelj001,1,2,1B+2B+3B,1B+2B+3B,1,strikeout,1,0,0
2025-03-27,KCA202503270,CLE,"Naylor, Bo",naylb001,1,0,empty,empty,1,field_out,2,0,0
2025-03-27,KCA202503270,CLE,"Arias, Gabriel",ariag002,1,1,empty,empty,1,strikeout,2,0,0
2025-03-27,KCA202503270,CLE,"Rocchio, Brayan",roccb001,1,2,empty,empty,1,field_out,2,0,0
2025-03-27,KCA202503270,CLE,"Kwan, Steven",kwans001,2,0,empty,empty,1,field_out,3,0,0
2025-03-27,KCA202503270,CLE,"Ramirez, Jose",ramij003,2,1,empty,empty,1,field_out,3,0,0
2025-03-27,KCA202503270,CLE,"Thomas, Lane",thoml002,2,2,empty,empty,1,field_out,3,0,0
2025-03-27,KCA202503270,CLE,"Santana, Carlos",santc002,2,0,empty,empty,1,strikeout,4,0,3
2025-03-27,KCA202503270,CLE,"Manzardo, Kyle",manzk001,2,1,empty,empty,1,triple,4,0,3
2025-03-27,KCA202503270,CLE,"Noel, Jhonkensy",noelj001,2,1,3B,3B,1,sac_fly,4,0,3
2025-03-27,KCA202503270,CLE,"Naylor, Bo",naylb001,2,2,empty,empty,1,field_out,4,1,3
2025-03-27,KCA202503270,CLE,"Arias, Gabriel",ariag002,2,0,empty,empty,1,double,5,1,3
