game_date,game_pk,team,player_name,batter,batter_pa_number_this_game,outs_when_up,runner_situation_start,runner_situation_before_final_pitch,runner_situation_changed_during_pa,events,inning,bat_score,fld_score
2025-03-27,CHA202503270,CHA,"Vargas, Miguel",vargm001,1,0,empty,empty,1,strikeout,1,0,0
2025-03-27,CHA202503270,CHA,"Robert, Luis",robel002,1,1,empty,empty,1,double,1,0,0
2025-03-27,CHA202503270,CHA,"Benintendi, Andrew",benia002,1,1,2B,2B,1,strikeout,1,0,0
2025-03-27,CHA202503270,CHA,"Vaughn, Andrew",vauga001,1,2,2B,2B,1,field_out,1,0,0
2025-03-27,CHA202503270,CHA,"Slater, Austin",slata001,1,0,empty,empty,1,home_run,2,0,0
2025-03-27,CHA202503270,CHA,"Sosa, Lenyn",sosal001,1,0,empty,empty,1,field_out,2,1,0
2025-03-27,CHA202503270,CHA,"Lee, Korey",lee-k002,1,1,empty,empty,1,single,2,1,0
2025-03-27,CHA202503270,CHA,"Amaya, Jacob",amayj001,1,1,1B,1B,1,single,2,1,0
2025-03-27,CHA202503270,CHA,"Taylor, Michael",taylm002,1,1,1B+2B,1B+2B,1,field_out,2,1,0
2025-03-27,CHA202503270,CHA,"Vargas, Miguel",vargm001,2,2,2B+3B,2B+3B,1,double,2,1,0
2025-03-27,CHA202503270,CHA,"Robert, Luis",robel002,2,2,2B,2B,1,field_out,2,3,0
2025-03-27,CHA202503270,CHA,"Benintendi, Andrew",benia002,2,0,empty,empty,1,strikeout,3,3,0
2025-03-27,CHA202503270,CHA,"Vaughn, Andrew",vauga001,2,1,empty,empty,1,field_out,3,3,0
2025-03-27,CHA202503270,CHA,"Slater, Austin",slata001,2,2,empty,empty,1,field_out,3,3,0
2025-03-27,CHA202503270,CHA,"Sosa, Lenyn",sosal001,2,0,empty,empty,1,field_out,4,3,0
2025-03-27,CHA202503270,CHA,"Lee, Korey",lee-k002,2,1,empty,empty,1,field_out,4,3,0
2025-03-27,CHA202503270,CHA,"Amaya, Jacob",amayj001,2,2,empty,empty,1,strikeout,4,3,0
2025-03-27,CHA202503270,CHA,"Taylor, Michael",taylm002,2,0,empty,empty,1,field_out,5,3,0
2025-03-27,CHA202503270,CHA,"Vargas, Miguel",vargm001,3,1,empty,empty,1,field_out,5,3,0
2025-03-27,CHA202503270,CHA,"Robert, Luis",robel002,3,2,empty,empty,1,strikeout,5,3,0
2025-03-27,CHA202503270,CHA,"Benintendi, Andrew",benia002,3,0,empty,empty,1,field_out,6,3,0
2025-03-27,CHA202503270,CHA,"Vaughn, Andrew",vauga001,3,1,empty,empty,1,field_out,6,3,0
