game_date,game_pk,team,player_name,batter,batter_pa_number_this_game,outs_when_up,runner_situation_start,runner_situation_before_final_pitch,runner_situation_changed_during_pa,events,inning,bat_score,fld_score
2025-03-27,LAN202503270,DET,"Ibanez, Andy",ibana001,1,0,empty,empty,1,field_out,1,0,0
2025-03-27,LAN202503270,DET,"Torres, Gleyber",torrg001,1,1,empty,empty,1,field_out,1,0,0
2025-03-27,LAN202503270,DET,"Greene, Riley",greer003,1,2,empty,empty,1,strikeout,1,0,0
2025-03-27,LAN202503270,DET,"Torkelson, Spencer",torks001,1,0,empty,empty,1,walk,2,0,0
2025-03-27,LAN202503270,DET,"Margot, Manuel",margm001,1,0,1B,1B,1,single,2,0,0
2025-03-27,LAN202503270,DET,"Keith, Colt",keitc001,1,0,1B+3B,1B+3B,1,fielders_choice_out,2,0,0
2025-03-27,LAN202503270,DET,"Baez, Javier",baezj001,1,1,1B+2B,1B+2B,1,field_out,2,0,0
2025-03-27,LAN202503270,DET,"Rogers, Jake",rogej004,1,2,2B+3B,2B+3B,1,field_out,2,0,0
2025-03-27,LAN202503270,DET,"Kreidler, Ryan",kreir001,1,0,empty,empty,1,single,3,0,1
2025-03-27,LAN202503270,DET,"Ibanez, Andy",ibana001,2,0,1B,1B,1,field_out,3,0,1
2025-03-27,LAN202503270,DET,"Torres, Gleyber",torrg001,2,1,2B,2B,1,field_out,3,0,1
2025-03-27,LAN202503270,DET,"Greene, Riley",greer003,2,2,3B,3B,1,field_out,3,0,1
2025-03-27,LAN202503270,DET,"Torkelson, Spencer",torks001,2,0,empty,empty,1,walk,4,0,1
2025-03-27,LAN202503270,DET,"Margot, Manuel",margm001,2,0,1B,1B,1,single,4,0,1
2025-03-27,LAN202503270,DET,"Keith, Colt",keitc001,2,0,1B+2B,1B+2B,1,field_out,4,0,1
2025-03-27,LAN202503270,DET,"Baez, Javier",baezj001,2,1,1B+2B,1B+2B,1,field_out,4,0,1
2025-03-27,LAN202503270,DET,"Rogers, Jake",rogej004,2,2,2B+3B,2B+3B,1,walk,4,0,1
2025-03-27,LAN202503270,DET,"Kreidler, Ryan",kreir001,2,2,1B+2B+3B,2B+3B,0,strikeout,4,1,1
2025-03-27,LAN202503270,DET,"Ibanez, Andy",ibana001,3,0,empty,empty,1,field_out,5,1,1
2025-03-27,LAN202503270,DET,"Torres, Gleyber",torrg001,3,1,empty,empty,1,single,5,1,1
2025-03-27,LAN202503270,DET,"Greene, Riley",greer003,3,1,1B,1B,1,single,5,1,1
2025-03-27,LAN202503270,DET,"Torkelson, Spencer",torks001,3,1,2B+3B,2B+3B,1,walk,5,1,1
2025-03-27,LAN202503270,DET,"Margot, Manuel",margm001,3,1,1B+2B+3B,1B+2B+3B,1,sac_fly,5,1,1
2025-03-27,LAN202503270,DET,"Keith, Colt",keitc001,3,2,1B+3B,1B+3B,1,field_out,5,2,1
2025-03-27,LAN202503270,DET,"McKinstry, Zach",mckiz001,1,0,empty,empty,1,walk,6,2,4
2025-03-27,LAN202503270,DET,"Rogers, Jake",rogej004,3,0,1B,1B,1,single,6,2,4
2025-03-27,LAN202503270,DET,"Carpenter, Kerry",carpk001,1,0,1B+2B,1B+2B,1,field_out,6,2,4
2025-03-27,LAN202503270,DET,"Ibanez, Andy",ibana001,4,1,1B+2B,1B+2B,1,strikeout,6,2,4
2025-03-27,LAN202503270,DET,"Torres, Gleyber",torrg001,4,2,1B+2B,1B+2B,1,field_out,6,2,4
2025-03-27,LAN202503270,DET,"Greene, Riley",greer003,4,0,empty,empty,1,strikeout,7,2,4
2025-03-27,LAN202503270,DET,"Torkelson, Spencer",torks001,4,1,empty,empty,1,home_run,7,2,4
2025-03-27,LAN202503270,DET,"Margot, Manuel",margm001,4,1,empty,empty,1,strikeout,7,3,4
2025-03-27,LAN202503270,DET,"Keith, Colt",keitc001,4,2,empty,empty,1,strikeout,7,3,4
2025-03-27,LAN202503270,DET,"McKinstry, Zach",mckiz001,2,0,empty,empty,1,triple,8,3,5
2025-03-27,LAN202503270,DET,"Rogers, Jake",rogej004,4,0,3B,3B,1,strikeout,8,3,5
2025-03-27,LAN202503270,DET,"Carpenter, Kerry",carpk001,2,1,3B,3B,1,sac_fly,8,3,5
2025-03-27,LAN202503270,DET,"Ibanez, Andy",ibana001,5,2,empty,empty,1,field_out,8,4,5
2025-03-27,LAN202503270,DET,"Torres, Gleyber",torrg001,5,0,empty,empty,1,single,9,4,5
2025-03-27,LAN202503270,DET,"Greene, Riley",greer003,5,0,1B,1B,1,strikeout,9,4,5
2025-03-27,LAN202503270,DET,"Torkelson, Spencer",torks001,5,1,1B,2B,0,walk,9,4,5
2025-03-27,LAN202503270,DET,"Sweeney, Trey",sweet001,1,1,1B+2B,1B+2B,1,strikeout,9,4,5
