game_date,game_pk,team,player_name,batter,batter_pa_number_this_game,outs_when_up,runner_situation_start,runner_situation_before_final_pitch,runner_situation_changed_during_pa,events,inning,bat_score,fld_score
2025-03-27,HOU202503270,HOU,"Altuve, Jose",altuj001,1,0,empty,empty,1,strikeout,1,0,0
2025-03-27,HOU202503270,HOU,"Paredes, Isaac",parei001,1,1,empty,empty,1,field_out,1,0,0
2025-03-27,HOU202503270,HOU,"Alvarez, Yordan",alvay001,1,2,empty,empty,1,walk,1,0,0
2025-03-27,HOU202503270,HOU,"Walker, Christian",walkc002,1,2,1B,1B,1,field_out,1,0,0
2025-03-27,HOU202503270,HOU,"Diaz, Yainer",diazy004,1,0,empty,empty,1,field_out,2,0,0
2025-03-27,HOU202503270,HOU,"Pena, Jeremy",penaj004,1,1,empty,empty,1,hit_by_pitch,2,0,0
2025-03-27,HOU202503270,HOU,"Smith, Cam",smitc010,1,1,1B,1B,1,single,2,0,0
2025-03-27,HOU202503270,HOU,"Rodgers, Brendan",rodgb002,1,1,1B+3B,1B+3B,1,walk,2,0,0
2025-03-27,HOU202503270,HOU,"Meyers, Jake",meyej002,1,1,1B+2B+3B,1B+2B+3B,1,field_out,2,0,0
2025-03-27,HOU202503270,HOU,"Altuve, Jose",altuj001,2,2,1B+3B,1B+3B,1,strikeout,2,1,0
2025-03-27,HOU202503270,HOU,"Paredes, Isaac",parei001,2,0,empty,empty,1,walk,3,1,0
2025-03-27,HOU202503270,HOU,"Alvarez, Yordan",alvay001,2,0,1B,1B,1,strikeout,3,1,0
2025-03-27,HOU202503270,HOU,"Walker, Christian",walkc002,2,1,1B,1B,1,single,3,1,0
2025-03-27,HOU202503270,HOU,"Diaz, Yainer",diazy004,2,1,1B+2B,1B+2B,1,single,3,1,0
2025-03-27,HOU202503270,HOU,"Pena, Jeremy",penaj004,2,1,1B+2B,1B+2B,1,field_out,3,2,0
2025-03-27,HOU202503270,HOU,"Smith, Cam",smitc010,2,2,2B,2B,1,field_out,3,3,0
2025-03-27,HOU202503270,HOU,"Rodgers, Brendan",rodgb002,2,0,empty,empty,1,strikeout,4,3,0
2025-03-27,HOU202503270,HOU,"Meyers, Jake",meyej002,2,1,empty,empty,1,single,4,3,0
2025-03-27,HOU202503270,HOU,"Altuve, Jose",altuj001,3,1,1B,1B,1,single,4,3,0
2025-03-27,HOU202503270,HOU,"Paredes, Isaac",parei001,3,1,1B+2B,1B+2B,1,grounded_into_double_play,4,3,0
2025-03-27,HOU202503270,HOU,"Alvarez, Yordan",alvay001,3,0,empty,empty,1,field_out,5,3,0
2025-03-27,HOU202503270,HOU,"Walker, Christian",walkc002,3,1,empty,empty,1,field_out,5,3,0
2025-03-27,HOU202503270,HOU,"Diaz, Yainer",diazy004,3,2,empty,empty,1,walk,5,3,0
2025-03-27,HOU202503270,HOU,"Pena, Jeremy",penaj004,3,2,1B,1B,1,field_out,5,3,0
2025-03-27,HOU202503270,HOU,"Smith, Cam",smitc010,3,0,empty,empty,1,field_out,6,3,0
2025-03-27,HOU202503270,HOU,"Rodgers, Brendan",rodgb002,3,1,empty,empty,1,field_out,6,3,0
2025-03-27,HOU202503270,HOU,"Meyers, Jake",meyej002,3,2,empty,empty,1,single,6,3,0
2025-03-27,HOU202503270,HOU,"Altuve, Jose",altuj001,4,2,1B,1B,1,strikeout,6,3,0
2025-03-27,HOU202503270,HOU,"Paredes, Isaac",parei001,4,0,empty,empty,1,strikeout,7,3,0
2025-03-27,HOU202503270,HOU,"Alvarez, Yordan",alvay001,4,1,empty,empty,1,walk,7,3,0
2025-03-27,HOU202503270,HOU,"Walker, Christian",walkc002,4,1,1B,1B,1,field_out,7,3,0
2025-03-27,HOU202503270,HOU,"Diaz, Yainer",diazy004,4,2,1B,1B,1,field_out,7,3,0
2025-03-27,HOU202503270,HOU,"Pena, Jeremy",penaj004,4,0,empty,empty,1,single,8,3,0
2025-03-27,HOU202503270,HOU,"McCormick, Chas",mccoc001,1,0,1B,1B,1,sac_bunt,8,3,0
2025-03-27,HOU202503270,HOU,"Rodgers, Brendan",rodgb002,4,1,2B,2B,1,strikeout,8,3,0
2025-03-27,HOU202503270,HOU,"Meyers, Jake",meyej002,4,2,2B,2B,1,field_out,8,3,0
2025-03-28,HOU202503280,HOU,"Altuve, Jose",altuj001,1,0,empty,empty,1,strikeout,1,0,0
2025-03-28,HOU202503280,HOU,"Paredes, Isaac",parei001,1,1,empty,empty,1,field_out,1,0,0
2025-03-28,HOU202503280,HOU,"Alvarez, Yordan",alvay001,1,2,empty,empty,1,field_out,1,0,0
2025-03-28,HOU202503280,HOU,"Walker, Christian",walkc002,1,0,empty,empty,1,field_out,2,0,2
2025-03-28,HOU202503280,HOU,"Diaz, Yainer",diazy004,1,1,empty,empty,1,field_out,2,0,2
2025-03-28,HOU202503280,HOU,"Pena, Jeremy",penaj004,1,2,empty,empty,1,field_out,2,0,2
2025-03-28,HOU202503280,HOU,"Smith, Cam",smitc010,1,0,empty,empty,1,strikeout,3,0,3
2025-03-28,HOU202503280,HOU,"Rodgers, Brendan",rodgb002,1,1,empty,empty,1,field_out,3,0,3
2025-03-28,HOU202503280,HOU,"Meyers, Jake",meyej002,1,2,empty,empty,1,strikeout,3,0,3
2025-03-28,HOU202503280,HOU,"Altuve, Jose",altuj001,2,0,empty,empty,1,single,4,0,3
2025-03-28,HOU202503280,HOU,"Paredes, Isaac",parei001,2,0,1B,1B,1,single,4,0,3
2025-03-28,HOU202503280,HOU,"Alvarez, Yordan",alvay001,2,0,1B+3B,1B+3B,1,sac_fly,4,0,3
2025-03-28,HOU202503280,HOU,"Walker, Christian",walkc002,2,1,1B,1B,1,strikeout,4,1,3
2025-03-28,HOU202503280,HOU,"Diaz, Yainer",diazy004,2,2,1B,1B,1,strikeout,4,1,3
2025-03-28,HOU202503280,HOU,"Pena, Jeremy",penaj004,2,0,empty,empty,1,field_out,5,1,3
2025-03-28,HOU202503280,HOU,"Smith, Cam",smitc010,2,1,empty,empty,1,walk,5,1,3
2025-03-28,HOU202503280,HOU,"Rodgers, Brendan",rodgb002,2,1,1B,1B,1,grounded_into_double_play,5,1,3
2025-03-28,HOU202503280,HOU,"Meyers, Jake",meyej002,2,0,empty,empty,1,strikeout,6,1,3
2025-03-28,HOU202503280,HOU,"Altuve, Jose",altuj001,3,0,1B,1B,1,single,6,1,3
2025-03-28,HOU202503280,HOU,"Paredes, Isaac",parei001,3,0,1B+2B,1B+2B,1,strikeout,6,1,3
2025-03-28,HOU202503280,HOU,"Alvarez, Yordan",alvay001,3,1,1B+2B,1B+2B,1,walk,6,1,3
2025-03-28,HOU202503280,HOU,"Walker, Christian",walkc002,3,1,1B+2B+3B,1B+2B+3B,1,strikeout,6,1,3
2025-03-28,HOU202503280,HOU,"Diaz, Yainer",diazy004,3,2,1B+2B+3B,1B+2B+3B,1,field_out,6,1,3
2025-03-28,HOU202503280,HOU,"Pena, Jeremy",penaj004,3,0,empty,empty,1,field_out,7,1,3
2025-03-28,HOU202503280,HOU,"Smith, Cam",smitc010,3,1,empty,empty,1,walk,7,1,3
2025-03-28,HOU202503280,HOU,"Rodgers, Brendan",rodgb002,3,1,1B,1B,1,field_out,7,1,3
2025-03-28,HOU202503280,HOU,"Meyers, Jake",meyej002,3,2,2B,2B,1,strikeout,7,1,3
2025-03-28,HOU202503280,HOU,"Altuve, Jose",altuj001,4,0,empty,empty,1,walk,8,1,3
2025-03-28,HOU202503280,HOU,"Paredes, Isaac",parei001,4,0,1B,1B,1,field_out,8,1,3
2025-03-28,HOU202503280,HOU,"Alvarez, Yordan",alvay001,4,1,1B,1B,1,field_out,8,1,3
2025-03-28,HOU202503280,HOU,"Walker, Christian",walkc002,4,2,2B,2B,1,field_out,8,1,3
