game_date,game_pk,team,player_name,batter,batter_pa_number_this_game,outs_when_up,runner_situation_start,runner_situation_before_final_pitch,runner_situation_changed_during_pa,events,inning,bat_score,fld_score
2025-03-27,KCA202503270,KCA,"India, Jonathan",indij001,1,0,empty,empty,1,field_out,1,0,0
2025-03-27,KCA202503270,KCA,"Witt, Bobby",wittb002,1,1,empty,empty,1,strikeout,1,0,0
2025-03-27,KCA202503270,KCA,"Pasquantino, Vinnie",pasqv001,1,2,empty,empty,1,field_out,1,0,0
2025-03-27,KCA202503270,KCA,"Perez, Salvador",peres002,1,0,empty,empty,1,field_out,2,0,0
2025-03-27,KCA202503270,KCA,"Massey, Michael",massm001,1,1,empty,empty,1,single,2,0,0
2025-03-27,KCA202503270,KCA,"Renfroe, Hunter",renfh001,1,1,1B,1B,1,field_out,2,0,0
2025-03-27,KCA202503270,KCA,"Melendez, MJ",melem001,1,2,1B,1B,1,strikeout,2,0,0
2025-03-27,KCA202503270,KCA,"Biggio, Cavan",biggc002,1,0,empty,empty,1,field_out,3,0,0
2025-03-27,KCA202503270,KCA,"Isbel, Kyle",isbek001,1,1,empty,empty,1,double,3,0,0
2025-03-27,KCA202503270,KCA,"India, Jonathan",indij001,2,1,2B,2B,1,field_out,3,0,0
2025-03-27,KCA202503270,KCA,"Witt, Bobby",wittb002,2,2,2B,2B,1,single,3,0,0
2025-03-27,KCA202503270,KCA,"Pasquantino, Vinnie",pasqv001,2,2,1B+3B,2B+3B,0,home_run,3,0,0
2025-03-27,KCA202503270,KCA,"Perez, Salvador",peres002,2,2,empty,empty,1,strikeout,3,3,0
2025-03-27,KCA202503270,KCA,"Massey, Michael",massm001,2,0,empty,empty,1,field_out,4,3,1
2025-03-27,KCA202503270,KCA,"Renfroe, Hunter",renfh001,2,1,empty,empty,1,field_out,4,3,1
2025-03-27,KCA202503270,KCA,"Melendez, MJ",melem001,2,2,empty,empty,1,field_out,4,3,1
2025-03-27,KCA202503270,KCA,"Biggio, Cavan",biggc002,2,0,empty,empty,1,field_out,5,3,2
2025-03-27,KCA202503270,KCA,"Isbel, Kyle",isbek001,2,1,empty,empty,1,field_out,5,3,2
2025-03-27,KCA202503270,KCA,"India, Jonathan",indij001,3,2,empty,empty,1,field_out,5,3,2
2025-03-27,KCA202503270,KCA,"Witt, Bobby",wittb002,3,0,empty,empty,1,strikeout,6,3,4
2025-03-27,KCA202503270,KCA,"Pasquantino, Vinnie",pasqv001,3,1,empty,empty,1,field_out,6,3,4
2025-03-27,KCA202503270,KCA,"Perez, Salvador",peres002,3,2,empty,empty,1,strikeout,6,3,4
2025-03-27,KCA202503270,KCA,"Massey, Michael",massm001,3,0,empty,empty,1,field_out,7,3,4
2025-03-27,KCA202503270,KCA,"Renfroe, Hunter",renfh001,3,1,empty,empty,1,strikeout,7,3,4
2025-03-27,KCA202503270,KCA,"Garcia, Maikel",garcm003,1,2,empty,empty,1,strikeout,7,3,4
2025-03-27,KCA202503270,KCA,"Biggio, Cavan",biggc002,3,0,empty,empty,1,walk,8,3,4
2025-03-27,KCA202503270,KCA,"Isbel, Kyle",isbek001,3,0,1B,2B,0,sac_bunt,8,3,4
2025-03-27,KCA202503270,KCA,"India, Jonathan",indij001,4,0,1B+3B,1B+3B,1,double_play,8,3,4
2025-03-27,KCA202503270,KCA,"Witt, Bobby",wittb002,4,2,2B,2B,1,strikeout,8,3,4
2025-03-27,KCA202503270,KCA,"Pasquantino, Vinnie",pasqv001,4,0,empty,empty,1,double,9,3,4
2025-03-27,KCA202503270,KCA,"Perez, Salvador",peres002,4,0,2B,2B,1,single,9,3,4
2025-03-27,KCA202503270,KCA,"Massey, Michael",massm001,4,0,1B+3B,1B+3B,1,sac_fly,9,3,4
2025-03-27,KCA202503270,KCA,"Renfroe, Hunter",renfh001,4,1,1B,1B,1,field_out,9,4,4
