game_date,game_pk,team,player_name,batter,batter_pa_number_this_game,outs_when_up,runner_situation_start,runner_situation_before_final_pitch,runner_situation_changed_during_pa,events,inning,bat_score,fld_score
2025-03-27,CHA202503270,ANA,"Ward, Taylor",wardt002,1,0,empty,empty,1,double,1,0,0
2025-03-27,CHA202503270,ANA,"Schanuel, Nolan",schan001,1,0,2B,2B,1,field_out,1,0,0
2025-03-27,CHA202503270,ANA,"Trout, Mike",troum001,1,1,3B,3B,1,hit_by_pitch,1,0,0
2025-03-27,CHA202503270,ANA,"Soler, Jorge",solej001,1,1,1B+3B,1B+3B,1,strikeout,1,0,0
2025-03-27,CHA202503270,ANA,"Anderson, Tim",andet001,1,2,1B+3B,1B+3B,1,strikeout,1,0,0
2025-03-27,CHA202503270,ANA,"Rengifo, Luis",rengl001,1,0,empty,empty,1,field_out,2,0,0
2025-03-27,CHA202503270,ANA,"O'Hoppe, Logan",ohopl001,1,1,empty,empty,1,single,2,0,0
2025-03-27,CHA202503270,ANA,"Adell, Jo",adelj001,1,1,1B,1B,1,single,2,0,0
2025-03-27,CHA202503270,ANA,"Newman, Kevin",newmk001,1,1,1B+2B,1B+2B,1,field_out,2,0,0
2025-03-27,CHA202503270,ANA,"Ward, Taylor",wardt002,2,2,1B+3B,1B+3B,1,field_out,2,0,0
2025-03-27,CHA202503270,ANA,"Schanuel, Nolan",schan001,2,0,empty,empty,1,field_out,3,0,3
2025-03-27,CHA202503270,ANA,"Trout, Mike",troum001,2,1,empty,empty,1,field_out,3,0,3
2025-03-27,CHA202503270,ANA,"Soler, Jorge",solej001,2,2,empty,empty,1,field_out,3,0,3
2025-03-27,CHA202503270,ANA,"Anderson, Tim",andet001,2,0,empty,empty,1,field_out,4,0,3
2025-03-27,CHA202503270,ANA,"Rengifo, Luis",rengl001,2,1,empty,empty,1,field_out,4,0,3
2025-03-27,CHA202503270,ANA,"O'Hoppe, Logan",ohopl001,2,2,empty,empty,1,field_out,4,0,3
2025-03-27,CHA202503270,ANA,"Adell, Jo",adelj001,2,0,empty,empty,1,strikeout,5,0,3
2025-03-27,CHA202503270,ANA,"Newman, Kevin",newmk001,2,1,empty,empty,1,field_out,5,0,3
2025-03-27,CHA202503270,ANA,"Ward, Taylor",wardt002,3,2,empty,empty,1,field_out,5,0,3
2025-03-27,CHA202503270,ANA,"Schanuel, Nolan",schan001,3,0,empty,empty,1,field_out,6,0,3
2025-03-27,CHA202503270,ANA,"Trout, Mike",troum001,3,1,empty,empty,1,field_out,6,0,3
