game_date,game_pk,team,player_name,batter,batter_pa_number_this_game,outs_when_up,runner_situation_start,runner_situation_before_final_pitch,runner_situation_changed_during_pa,events,inning,bat_score,fld_score
2025-03-18,CHN202503180,LAN,"Ohtani, Shohei",ohtas001,1,0,empty,empty,1,field_out,1,0,0
2025-03-18,CHN202503180,LAN,"Edman, Tommy",edmat001,1,1,empty,empty,1,field_out,1,0,0
2025-03-18,CHN202503180,LAN,"Hernandez, Teoscar",hernt002,1,2,empty,empty,1,strikeout,1,0,0
2025-03-18,CHN202503180,LAN,"Smith, Will",smitw003,1,0,empty,empty,1,walk,2,0,0
2025-03-18,CHN202503180,LAN,"Muncy, Max",muncm001,1,0,1B,1B,1,walk,2,0,0
2025-03-18,CHN202503180,LAN,"Hernandez, Enrique",herne001,1,0,1B+2B,1B+2B,1,field_out,2,0,0
2025-03-18,CHN202503180,LAN,"Conforto, Michael",confm001,1,1,1B+2B,1B+2B,1,field_out,2,0,0
2025-03-18,CHN202503180,LAN,"Rojas, Miguel",rojam002,1,2,1B+2B,1B+2B,1,field_out,2,0,0
2025-03-18,CHN202503180,LAN,"Pages, Andy",pagea001,1,0,empty,empty,1,strikeout,3,0,1
2025-03-18,CHN202503180,LAN,"Ohtani, Shohei",ohtas001,2,1,empty,empty,1,field_out,3,0,1
2025-03-18,CHN202503180,LAN,"Edman, Tommy",edmat001,2,2,empty,empty,1,field_out,3,0,1
2025-03-18,CHN202503180,LAN,"Hernandez, Teoscar",hernt002,2,0,empty,empty,1,walk,4,0,1
2025-03-18,CHN202503180,LAN,"Smith, Will",smitw003,2,0,1B,1B,1,field_out,4,0,1
2025-03-18,CHN202503180,LAN,"Muncy, Max",muncm001,2,1,1B,1B,1,walk,4,0,1
2025-03-18,CHN202503180,LAN,"Hernandez, Enrique",herne001,2,1,1B+2B,1B+2B,1,field_out,4,0,1
2025-03-18,CHN202503180,LAN,"Conforto, Michael",confm001,2,2,1B+3B,1B+3B,1,field_out,4,0,1
2025-03-18,CHN202503180,LAN,"Rojas, Miguel",rojam002,2,0,empty,empty,1,strikeout,5,0,1
2025-03-18,CHN202503180,LAN,"Pages, Andy",pagea001,2,1,empty,empty,1,walk,5,0,1
2025-03-18,CHN202503180,LAN,"Ohtani, Shohei",ohtas001,3,1,1B,1B,1,single,5,0,1
2025-03-18,CHN202503180,LAN,"Edman, Tommy",edmat001,3,1,1B+3B,1B+3B,1,single,5,0,1
2025-03-18,CHN202503180,LAN,"Hernandez, Teoscar",hernt002,3,1,1B+2B,1B+2B,1,field_out,5,1,1
2025-03-18,CHN202503180,LAN,"Smith, Will",smitw003,3,2,2B,2B,1,single,5,2,1
2025-03-18,CHN202503180,LAN,"Muncy, Max",muncm001,3,2,1B,1B,1,strikeout,5,3,1
2025-03-18,CHN202503180,LAN,"Hernandez, Enrique",herne001,3,0,empty,empty,1,strikeout,6,3,1
2025-03-18,CHN202503180,LAN,"Conforto, Michael",confm001,3,1,empty,empty,1,strikeout,6,3,1
2025-03-18,CHN202503180,LAN,"Rojas, Miguel",rojam002,3,2,empty,empty,1,single,6,3,1
2025-03-18,CHN202503180,LAN,"Pages, Andy",pagea001,3,2,2B,2B,1,walk,6,3,1
2025-03-18,CHN202503180,LAN,"Ohtani, Shohei",ohtas001,4,2,1B+2B,1B+2B,1,strikeout,6,3,1
2025-03-18,CHN202503180,LAN,"Edman, Tommy",edmat001,4,0,empty,empty,1,field_out,7,3,1
2025-03-18,CHN202503180,LAN,"Hernandez, Teoscar",hernt002,4,1,empty,empty,1,field_out,7,3,1
2025-03-18,CHN202503180,LAN,"Smith, Will",smitw003,4,2,empty,empty,1,walk,7,3,1
2025-03-18,CHN202503180,LAN,"Muncy, Max",muncm001,4,2,1B,1B,1,field_out,7,3,1
2025-03-18,CHN202503180,LAN,"Hernandez, Enrique",herne001,4,0,empty,empty,1,field_out,8,3,1
2025-03-18,CHN202503180,LAN,"Conforto, Michael",confm001,4,1,empty,empty,1,double,8,3,1
2025-03-18,CHN202503180,LAN,"Rojas, Miguel",rojam002,4,1,2B,2B,1,field_out,8,3,1
2025-03-18,CHN202503180,LAN,"Pages, Andy",pagea001,4,2,3B,3B,1,strikeout,8,3,1
2025-03-18,CHN202503180,LAN,"Ohtani, Shohei",ohtas001,5,0,empty,empty,1,double,9,3,1
2025-03-18,CHN202503180,LAN,"Edman, Tommy",edmat001,5,0,2B,2B,1,field_out,9,3,1
2025-03-18,CHN202503180,LAN,"Hernandez, Teoscar",hernt002,5,1,3B,3B,1,single,9,3,1
2025-03-18,CHN202503180,LAN,"Smith, Will",smitw003,5,1,1B,1B,1,walk,9,4,1
2025-03-18,CHN202503180,LAN,"Muncy, Max",muncm001,5,1,1B+2B,1B+2B,1,strikeout,9,4,1
2025-03-18,CHN202503180,LAN,"Hernandez, Enrique",herne001,5,2,1B+2B,1B+2B,1,field_out,9,4,1
2025-03-19,CHN202503190,LAN,"Ohtani, Shohei",ohtas001,1,0,empty,empty,1,field_out,1,0,0
2025-03-19,CHN202503190,LAN,"Edman, Tommy",edmat001,1,1,empty,empty,1,strikeout,1,0,0
2025-03-19,CHN202503190,LAN,"Hernandez, Teoscar",hernt002,1,2,empty,empty,1,field_out,1,0,0
2025-03-19,CHN202503190,LAN,"Smith, Will",smitw003,1,0,empty,empty,1,walk,2,0,0
2025-03-19,CHN202503190,LAN,"Muncy, Max",muncm001,1,0,1B,1B,1,double,2,0,0
2025-03-19,CHN202503190,LAN,"Hernandez, Enrique",herne001,1,0,2B+3B,3B,0,sac_fly,2,1,0
2025-03-19,CHN202503190,LAN,"Conforto, Michael",confm001,1,1,empty,empty,1,single,2,2,0
2025-03-19,CHN202503190,LAN,"Rojas, Miguel",rojam002,1,1,1B,1B,1,grounded_into_double_play,2,2,0
2025-03-19,CHN202503190,LAN,"Pages, Andy",pagea001,1,0,empty,empty,1,strikeout,3,2,0
2025-03-19,CHN202503190,LAN,"Ohtani, Shohei",ohtas001,2,1,empty,empty,1,field_out,3,2,0
2025-03-19,CHN202503190,LAN,"Edman, Tommy",edmat001,2,2,empty,empty,1,home_run,3,2,0
2025-03-19,CHN202503190,LAN,"Hernandez, Teoscar",hernt002,2,2,empty,empty,1,strikeout,3,3,0
2025-03-19,CHN202503190,LAN,"Smith, Will",smitw003,2,0,empty,empty,1,double,4,3,1
2025-03-19,CHN202503190,LAN,"Muncy, Max",muncm001,2,0,2B,2B,1,field_out,4,3,1
2025-03-19,CHN202503190,LAN,"Hernandez, Enrique",herne001,2,1,2B,2B,1,home_run,4,3,1
2025-03-19,CHN202503190,LAN,"Conforto, Michael",confm001,2,1,empty,empty,1,strikeout,4,5,1
2025-03-19,CHN202503190,LAN,"Rojas, Miguel",rojam002,2,2,empty,empty,1,strikeout,4,5,1
2025-03-19,CHN202503190,LAN,"Pages, Andy",pagea001,2,0,empty,empty,1,strikeout,5,5,2
