game_date,game_pk,team,player_name,batter,batter_pa_number_this_game,outs_when_up,runner_situation_start,runner_situation_before_final_pitch,runner_situation_changed_during_pa,events,inning,bat_score,fld_score
2025-03-27,MIA202503270,MIA,"Edwards, Xavier",edwax001,1,0,empty,empty,1,strikeout,1,0,0
2025-03-27,MIA202503270,MIA,"Stowers, Kyle",stowk001,1,1,empty,empty,1,strikeout,1,0,0
2025-03-27,MIA202503270,MIA,"Bride, Jonah",bridj001,1,2,empty,empty,1,field_out,1,0,0
2025-03-27,MIA202503270,MIA,"Mervis, Matt",mervm001,1,0,empty,empty,1,field_out,2,0,0
2025-03-27,MIA202503270,MIA,"Lopez, Otto",lopeo001,1,1,empty,empty,1,strikeout,2,0,0
2025-03-27,MIA202503270,MIA,"Conine, Griffin",conig001,1,2,empty,empty,1,strikeout,2,0,0
2025-03-27,MIA202503270,MIA,"Hill, Derek",hilld002,1,0,empty,empty,1,double,3,0,0
2025-03-27,MIA202503270,MIA,"Pauley, Graham",paulg001,1,0,2B,2B,1,single,3,0,0
2025-03-27,MIA202503270,MIA,"Fortes, Nick",fortn001,1,0,1B+2B,1B+2B,1,field_out,3,0,0
2025-03-27,MIA202503270,MIA,"Edwards, Xavier",edwax001,2,1,1B+3B,1B+3B,1,field_out,3,0,0
2025-03-27,MIA202503270,MIA,"Stowers, Kyle",stowk001,2,2,1B,2B,0,strikeout,3,1,0
2025-03-27,MIA202503270,MIA,"Bride, Jonah",bridj001,2,0,empty,empty,1,single,4,1,0
2025-03-27,MIA202503270,MIA,"Mervis, Matt",mervm001,2,0,1B,1B,1,strikeout,4,1,0
2025-03-27,MIA202503270,MIA,"Lopez, Otto",lopeo001,2,1,1B,1B,1,grounded_into_double_play,4,1,0
2025-03-27,MIA202503270,MIA,"Conine, Griffin",conig001,2,0,empty,empty,1,field_error,5,1,2
2025-03-27,MIA202503270,MIA,"Hill, Derek",hilld002,2,0,1B,1B,1,field_out,5,1,2
2025-03-27,MIA202503270,MIA,"Pauley, Graham",paulg001,2,1,1B,1B,1,double_play,5,1,2
2025-03-27,MIA202503270,MIA,"Fortes, Nick",fortn001,2,0,empty,empty,1,strikeout,6,1,4
2025-03-27,MIA202503270,MIA,"Edwards, Xavier",edwax001,3,1,empty,empty,1,walk,6,1,4
2025-03-27,MIA202503270,MIA,"Stowers, Kyle",stowk001,3,1,1B,1B,1,walk,6,1,4
2025-03-27,MIA202503270,MIA,"Bride, Jonah",bridj001,3,1,1B+2B,1B+2B,1,walk,6,1,4
2025-03-27,MIA202503270,MIA,"Mervis, Matt",mervm001,3,1,1B+2B+3B,2B+3B,0,strikeout,6,2,4
2025-03-27,MIA202503270,MIA,"Lopez, Otto",lopeo001,3,2,2B+3B,2B+3B,1,walk,6,2,4
2025-03-27,MIA202503270,MIA,"Myers, Dane",myerd001,1,2,1B+2B+3B,1B+2B+3B,1,strikeout,6,2,4
2025-03-27,MIA202503270,MIA,"Hill, Derek",hilld002,3,0,empty,empty,1,field_out,7,2,4
2025-03-27,MIA202503270,MIA,"Pauley, Graham",paulg001,3,1,empty,empty,1,strikeout,7,2,4
2025-03-27,MIA202503270,MIA,"Fortes, Nick",fortn001,3,2,empty,empty,1,hit_by_pitch,7,2,4
2025-03-27,MIA202503270,MIA,"Edwards, Xavier",edwax001,4,2,1B,1B,1,field_out,7,2,4
2025-03-27,MIA202503270,MIA,"Stowers, Kyle",stowk001,4,0,empty,empty,1,walk,8,2,4
2025-03-27,MIA202503270,MIA,"Bride, Jonah",bridj001,4,0,1B,1B,1,field_out,8,2,4
2025-03-27,MIA202503270,MIA,"Mervis, Matt",mervm001,4,1,2B,2B,1,strikeout,8,2,4
2025-03-27,MIA202503270,MIA,"Lopez, Otto",lopeo001,4,2,2B,2B,1,single,8,2,4
2025-03-27,MIA202503270,MIA,"Myers, Dane",myerd001,2,2,2B,2B,1,single,8,3,4
2025-03-27,MIA202503270,MIA,"Hill, Derek",hilld002,4,2,1B,2B,0,walk,8,4,4
2025-03-27,MIA202503270,MIA,"Pauley, Graham",paulg001,4,2,1B+2B,1B+2B,1,field_out,8,4,4
2025-03-27,MIA202503270,MIA,"Fortes, Nick",fortn001,4,0,empty,empty,1,triple,9,4,4
2025-03-27,MIA202503270,MIA,"Edwards, Xavier",edwax001,5,0,3B,3B,1,intent_walk,9,4,4
2025-03-27,MIA202503270,MIA,"Stowers, Kyle",stowk001,5,0,1B+3B,2B+3B,0,single,9,4,4
2025-03-28,MIA202503280,MIA,"Edwards, Xavier",edwax001,1,0,empty,empty,1,single,1,0,0
2025-03-28,MIA202503280,MIA,"Stowers, Kyle",stowk001,1,0,1B,1B,1,grounded_into_double_play,1,0,0
2025-03-28,MIA202503280,MIA,"Bride, Jonah",bridj001,1,2,empty,empty,1,field_out,1,0,0
2025-03-28,MIA202503280,MIA,"Mervis, Matt",mervm001,1,0,empty,empty,1,field_out,2,0,0
2025-03-28,MIA202503280,MIA,"Lopez, Otto",lopeo001,1,1,empty,empty,1,walk,2,0,0
2025-03-28,MIA202503280,MIA,"Conine, Griffin",conig001,1,1,1B,1B,1,single,2,0,0
2025-03-28,MIA202503280,MIA,"Hicks, Liam",hickl001,1,1,1B+3B,1B+3B,1,field_out,2,0,0
2025-03-28,MIA202503280,MIA,"Hill, Derek",hilld002,1,2,1B+3B,1B+3B,1,strikeout,2,0,0
2025-03-28,MIA202503280,MIA,"Pauley, Graham",paulg001,1,0,empty,empty,1,field_out,3,0,0
2025-03-28,MIA202503280,MIA,"Edwards, Xavier",edwax001,2,1,empty,empty,1,field_out,3,0,0
2025-03-28,MIA202503280,MIA,"Stowers, Kyle",stowk001,2,2,empty,empty,1,strikeout,3,0,0
2025-03-28,MIA202503280,MIA,"Bride, Jonah",bridj001,2,0,empty,empty,1,strikeout,4,0,2
2025-03-28,MIA202503280,MIA,"Mervis, Matt",mervm001,2,1,empty,empty,1,field_out,4,0,2
2025-03-28,MIA202503280,MIA,"Lopez, Otto",lopeo001,2,2,empty,empty,1,field_out,4,0,2
2025-03-28,MIA202503280,MIA,"Conine, Griffin",conig001,2,0,empty,empty,1,field_out,5,0,4
2025-03-28,MIA202503280,MIA,"Hicks, Liam",hickl001,2,1,empty,empty,1,field_out,5,0,4
2025-03-28,MIA202503280,MIA,"Hill, Derek",hilld002,2,2,empty,empty,1,single,5,0,4
2025-03-28,MIA202503280,MIA,"Pauley, Graham",paulg001,2,2,1B,1B,1,double,5,0,4
2025-03-28,MIA202503280,MIA,"Edwards, Xavier",edwax001,3,2,2B,2B,1,field_out,5,1,4
2025-03-28,MIA202503280,MIA,"Stowers, Kyle",stowk001,3,0,empty,empty,1,strikeout,6,1,4
2025-03-28,MIA202503280,MIA,"Bride, Jonah",bridj001,3,1,empty,empty,1,field_out,6,1,4
2025-03-28,MIA202503280,MIA,"Mervis, Matt",mervm001,3,2,empty,empty,1,single,6,1,4
2025-03-28,MIA202503280,MIA,"Lopez, Otto",lopeo001,3,2,1B,1B,1,field_out,6,1,4
2025-03-28,MIA202503280,MIA,"Myers, Dane",myerd001,1,0,empty,empty,1,field_out,7,1,4
2025-03-28,MIA202503280,MIA,"Hicks, Liam",hickl001,3,1,empty,empty,1,walk,7,1,4
2025-03-28,MIA202503280,MIA,"Hill, Derek",hilld002,3,1,1B,1B,1,sac_bunt,7,1,4
2025-03-28,MIA202503280,MIA,"Wagaman, Eric",wagae001,1,2,2B,2B,1,strikeout,7,1,4
2025-03-28,MIA202503280,MIA,"Edwards, Xavier",edwax001,4,0,empty,empty,1,single,8,1,4
2025-03-28,MIA202503280,MIA,"Stowers, Kyle",stowk001,4,0,1B,1B,1,grounded_into_double_play,8,1,4
2025-03-28,MIA202503280,MIA,"Bride, Jonah",bridj001,4,2,empty,empty,1,strikeout,8,1,4
2025-03-28,MIA202503280,MIA,"Mervis, Matt",mervm001,4,0,empty,empty,1,walk,9,1,4
2025-03-28,MIA202503280,MIA,"Lopez, Otto",lopeo001,4,0,1B,1B,1,home_run,9,1,4
2025-03-28,MIA202503280,MIA,"Myers, Dane",myerd001,2,0,empty,empty,1,field_out,9,3,4
2025-03-28,MIA202503280,MIA,"Hicks, Liam",hickl001,4,1,empty,empty,1,field_out,9,3,4
2025-03-28,MIA202503280,MIA,"Hill, Derek",hilld002,4,2,empty,empty,1,strikeout,9,3,4
2025-03-29,MIA202503290,MIA,"Edwards, Xavier",edwax001,1,0,empty,empty,1,strikeout,1,0,1
