game_date,game_pk,team,player_name,batter,batter_pa_number_this_game,outs_when_up,runner_situation_start,runner_situation_before_final_pitch,runner_situation_changed_during_pa,events,inning,bat_score,fld_score
2025-03-27,NYA202503270,MIL,"Chourio, Jackson",chouj001,1,0,empty,empty,1,strikeout,1,0,0
2025-03-27,NYA202503270,MIL,"Yelich, Christian",yelic001,1,1,empty,empty,1,field_out,1,0,0
2025-03-27,NYA202503270,MIL,"Contreras, William",contw002,1,2,empty,empty,1,field_out,1,0,0
2025-03-27,NYA202503270,MIL,"Hoskins, Rhys",hoskr001,1,0,empty,empty,1,field_out,2,0,1
2025-03-27,NYA202503270,MIL,"Frelick, Sal",frels001,1,1,empty,empty,1,single,2,0,1
2025-03-27,NYA202503270,MIL,"Ortiz, Joey",ortij005,1,1,1B,1B,1,field_out,2,0,1
2025-03-27,NYA202503270,MIL,"Mitchell, Garrett",mitcg001,1,2,1B,1B,1,field_out,2,0,1
2025-03-27,NYA202503270,MIL,"Capra, Vinny",caprv001,1,0,empty,empty,1,home_run,3,0,2
2025-03-27,NYA202503270,MIL,"Turang, Brice",turab002,1,0,empty,empty,1,single,3,1,2
2025-03-27,NYA202503270,MIL,"Chourio, Jackson",chouj001,2,0,1B,1B,1,strikeout,3,1,2
2025-03-27,NYA202503270,MIL,"Yelich, Christian",yelic001,2,1,1B,1B,1,field_out,3,1,2
2025-03-27,NYA202503270,MIL,"Contreras, William",contw002,2,2,1B,1B,1,strikeout,3,1,2
2025-03-27,NYA202503270,MIL,"Hoskins, Rhys",hoskr001,2,0,empty,empty,1,strikeout,4,1,2
2025-03-27,NYA202503270,MIL,"Frelick, Sal",frels001,2,1,empty,empty,1,single,4,1,2
2025-03-27,NYA202503270,MIL,"Ortiz, Joey",ortij005,2,1,1B,1B,1,field_out,4,1,2
2025-03-27,NYA202503270,MIL,"Mitchell, Garrett",mitcg001,2,2,2B,2B,1,field_out,4,1,2
2025-03-27,NYA202503270,MIL,"Capra, Vinny",caprv001,2,0,empty,empty,1,strikeout,5,1,2
2025-03-27,NYA202503270,MIL,"Turang, Brice",turab002,2,1,empty,empty,1,strikeout,5,1,2
2025-03-27,NYA202503270,MIL,"Chourio, Jackson",chouj001,3,2,empty,empty,1,strikeout,5,1,2
2025-03-27,NYA202503270,MIL,"Yelich, Christian",yelic001,3,0,empty,empty,1,walk,6,1,2
2025-03-27,NYA202503270,MIL,"Contreras, William",contw002,3,0,1B,1B,1,field_out,6,1,2
2025-03-27,NYA202503270,MIL,"Hoskins, Rhys",hoskr001,3,1,1B,1B,1,walk,6,1,2
2025-03-27,NYA202503270,MIL,"Frelick, Sal",frels001,3,1,1B+2B,1B+2B,1,field_out,6,1,2
2025-03-27,NYA202503270,MIL,"Ortiz, Joey",ortij005,3,2,1B+2B,1B+2B,1,single,6,1,2
2025-03-27,NYA202503270,MIL,"Collins, Isaac",colli001,1,2,1B+2B+3B,1B+2B+3B,1,field_out,6,1,2
2025-03-27,NYA202503270,MIL,"Capra, Vinny",caprv001,3,0,empty,empty,1,field_out,7,1,2
2025-03-27,NYA202503270,MIL,"Turang, Brice",turab002,3,1,empty,empty,1,strikeout,7,1,2
2025-03-27,NYA202503270,MIL,"Chourio, Jackson",chouj001,4,2,empty,empty,1,strikeout,7,1,2
2025-03-27,NYA202503270,MIL,"Yelich, Christian",yelic001,4,0,empty,empty,1,strikeout,8,1,4
2025-03-27,NYA202503270,MIL,"Contreras, William",contw002,4,1,empty,empty,1,field_out,8,1,4
2025-03-27,NYA202503270,MIL,"Hoskins, Rhys",hoskr001,4,2,empty,empty,1,walk,8,1,4
2025-03-27,NYA202503270,MIL,"Frelick, Sal",frels001,4,2,1B,1B,1,strikeout,8,1,4
2025-03-27,NYA202503270,MIL,"Ortiz, Joey",ortij005,4,0,empty,empty,1,single,9,1,4
2025-03-27,NYA202503270,MIL,"Collins, Isaac",colli001,2,0,1B,1B,1,double,9,1,4
2025-03-27,NYA202503270,MIL,"Bauers, Jake",bauej001,1,0,2B+3B,2B+3B,1,walk,9,1,4
2025-03-27,NYA202503270,MIL,"Turang, Brice",turab002,4,0,1B+2B+3B,1B+2B+3B,1,sac_fly,9,1,4
