game_date,game_pk,team,player_name,batter,batter_pa_number_this_game,outs_when_up,runner_situation_start,runner_situation_before_final_pitch,runner_situation_changed_during_pa,events,inning,bat_score,fld_score
2025-03-27,SLN202503270,MIN,"Wallner, Matt",wallm001,1,0,empty,empty,1,field_out,1,0,0
2025-03-27,SLN202503270,MIN,"Correa, Carlos",corrc001,1,1,empty,empty,1,strikeout,1,0,0
2025-03-27,SLN202503270,MIN,"Buxton, Byron",buxtb001,1,2,empty,empty,1,field_out,1,0,0
2025-03-27,SLN202503270,MIN,"Larnach, Trevor",larnt001,1,0,empty,empty,1,single,2,0,1
2025-03-27,SLN202503270,MIN,"Jeffers, Ryan",jeffr002,1,0,1B,1B,1,field_out,2,0,1
2025-03-27,SLN202503270,MIN,"France, Ty",frant002,1,1,1B,1B,1,single,2,0,1
2025-03-27,SLN202503270,MIN,"Castro, Willi",castw003,1,1,1B+3B,1B+3B,1,walk,2,0,1
2025-03-27,SLN202503270,MIN,"Miranda, Jose",miraj002,1,1,1B+2B+3B,1B+2B+3B,1,strikeout,2,0,1
2025-03-27,SLN202503270,MIN,"Bader, Harrison",badeh001,1,2,1B+2B+3B,1B+2B+3B,1,field_out,2,0,1
2025-03-27,SLN202503270,MIN,"Wallner, Matt",wallm001,2,0,empty,empty,1,field_out,3,0,3
2025-03-27,SLN202503270,MIN,"Correa, Carlos",corrc001,2,1,empty,empty,1,field_out,3,0,3
2025-03-27,SLN202503270,MIN,"Buxton, Byron",buxtb001,2,2,empty,empty,1,field_out,3,0,3
2025-03-27,SLN202503270,MIN,"Larnach, Trevor",larnt001,2,0,empty,empty,1,strikeout,4,0,4
2025-03-27,SLN202503270,MIN,"Jeffers, Ryan",jeffr002,2,1,empty,empty,1,strikeout,4,0,4
2025-03-27,SLN202503270,MIN,"France, Ty",frant002,2,2,empty,empty,1,strikeout,4,0,4
2025-03-27,SLN202503270,MIN,"Castro, Willi",castw003,2,0,empty,empty,1,strikeout,5,0,4
2025-03-27,SLN202503270,MIN,"Miranda, Jose",miraj002,2,1,empty,empty,1,single,5,0,4
2025-03-27,SLN202503270,MIN,"Bader, Harrison",badeh001,2,1,1B,1B,1,home_run,5,0,4
2025-03-27,SLN202503270,MIN,"Wallner, Matt",wallm001,3,1,empty,empty,1,walk,5,2,4
2025-03-27,SLN202503270,MIN,"Correa, Carlos",corrc001,3,1,1B,1B,1,grounded_into_double_play,5,2,4
2025-03-27,SLN202503270,MIN,"Buxton, Byron",buxtb001,3,0,empty,empty,1,field_out,6,2,4
2025-03-27,SLN202503270,MIN,"Larnach, Trevor",larnt001,3,1,empty,empty,1,walk,6,2,4
2025-03-27,SLN202503270,MIN,"Jeffers, Ryan",jeffr002,3,1,1B,1B,1,single,6,2,4
2025-03-27,SLN202503270,MIN,"France, Ty",frant002,3,1,1B+2B,1B+2B,1,field_out,6,2,4
2025-03-27,SLN202503270,MIN,"Castro, Willi",castw003,3,2,1B+3B,1B+3B,1,double,6,2,4
2025-03-27,SLN202503270,MIN,"Miranda, Jose",miraj002,3,2,2B+3B,2B+3B,1,field_out,6,3,4
2025-03-27,SLN202503270,MIN,"Bader, Harrison",badeh001,3,0,empty,empty,1,field_out,7,3,4
2025-03-27,SLN202503270,MIN,"Wallner, Matt",wallm001,4,1,empty,empty,1,strikeout,7,3,4
2025-03-27,SLN202503270,MIN,"Correa, Carlos",corrc001,4,2,empty,empty,1,field_out,7,3,4
2025-03-27,SLN202503270,MIN,"Buxton, Byron",buxtb001,4,0,empty,empty,1,strikeout,8,3,4
2025-03-27,SLN202503270,MIN,"Larnach, Trevor",larnt001,4,1,empty,empty,1,single,8,3,4
2025-03-27,SLN202503270,MIN,"Jeffers, Ryan",jeffr002,4,1,1B,2B,0,field_out,8,3,4
2025-03-27,SLN202503270,MIN,"France, Ty",frant002,4,2,2B,2B,1,field_out,8,3,4
2025-03-27,SLN202503270,MIN,"Castro, Willi",castw003,4,0,empty,empty,1,strikeout,9,3,5
2025-03-27,SLN202503270,MIN,"Miranda, Jose",miraj002,4,1,empty,empty,1,strikeout,9,3,5
2025-03-27,SLN202503270,MIN,"Bader, Harrison",badeh001,4,2,empty,empty,1,double,9,3,5
2025-03-27,SLN202503270,MIN,"Wallner, Matt",wallm001,5,2,2B,2B,1,strikeout,9,3,5
2025-03-29,SLN202503290,MIN,"Wallner, Matt",wallm001,1,0,empty,empty,1,strikeout,1,0,0
2025-03-29,SLN202503290,MIN,"Correa, Carlos",corrc001,1,1,empty,empty,1,field_out,1,0,0
2025-03-29,SLN202503290,MIN,"Buxton, Byron",buxtb001,1,2,empty,empty,1,field_out,1,0,0
2025-03-29,SLN202503290,MIN,"Larnach, Trevor",larnt001,1,0,empty,empty,1,single,2,0,1
2025-03-29,SLN202503290,MIN,"France, Ty",frant002,1,0,1B,2B,0,field_out,2,0,1
2025-03-29,SLN202503290,MIN,"Gasper, Mickey",gaspm001,1,1,3B,3B,1,field_out,2,0,1
2025-03-29,SLN202503290,MIN,"Castro, Willi",castw003,1,2,3B,3B,1,double,2,0,1
2025-03-29,SLN202503290,MIN,"Miranda, Jose",miraj002,1,2,2B,2B,1,field_out,2,1,1
2025-03-29,SLN202503290,MIN,"Vazquez, Christian",vazqc001,1,0,empty,empty,1,field_out,3,1,1
2025-03-29,SLN202503290,MIN,"Wallner, Matt",wallm001,2,1,empty,empty,1,field_error,3,1,1
2025-03-29,SLN202503290,MIN,"Correa, Carlos",corrc001,2,1,1B,1B,1,grounded_into_double_play,3,1,1
2025-03-29,SLN202503290,MIN,"Buxton, Byron",buxtb001,2,0,empty,empty,1,strikeout,4,1,1
2025-03-29,SLN202503290,MIN,"Larnach, Trevor",larnt001,2,1,empty,empty,1,field_out,4,1,1
2025-03-29,SLN202503290,MIN,"France, Ty",frant002,2,2,empty,empty,1,field_out,4,1,1
2025-03-29,SLN202503290,MIN,"Gasper, Mickey",gaspm001,2,0,empty,empty,1,field_out,5,1,1
2025-03-29,SLN202503290,MIN,"Castro, Willi",castw003,2,1,empty,empty,1,field_out,5,1,1
2025-03-29,SLN202503290,MIN,"Miranda, Jose",miraj002,2,2,empty,empty,1,field_out,5,1,1
2025-03-29,SLN202503290,MIN,"Vazquez, Christian",vazqc001,2,0,empty,empty,1,field_out,6,1,1
2025-03-29,SLN202503290,MIN,"Wallner, Matt",wallm001,3,1,empty,empty,1,field_out,6,1,1
2025-03-29,SLN202503290,MIN,"Correa, Carlos",corrc001,3,2,empty,empty,1,field_out,6,1,1
2025-03-29,SLN202503290,MIN,"Buxton, Byron",buxtb001,3,0,empty,empty,1,field_out,7,1,4
2025-03-29,SLN202503290,MIN,"Larnach, Trevor",larnt001,3,1,empty,empty,1,field_out,7,1,4
2025-03-29,SLN202503290,MIN,"France, Ty",frant002,3,2,empty,empty,1,field_out,7,1,4
2025-03-29,SLN202503290,MIN,"Gasper, Mickey",gaspm001,3,0,empty,empty,1,single,8,1,4
2025-03-29,SLN202503290,MIN,"Castro, Willi",castw003,3,0,1B,1B,1,field_out,8,1,4
2025-03-29,SLN202503290,MIN,"Miranda, Jose",miraj002,3,1,1B,1B,1,field_out,8,1,4
2025-03-29,SLN202503290,MIN,"Vazquez, Christian",vazqc001,3,2,1B,1B,1,field_out,8,1,4
2025-03-29,SLN202503290,MIN,"Wallner, Matt",wallm001,4,0,empty,empty,1,field_out,9,1,5
2025-03-29,SLN202503290,MIN,"Correa, Carlos",corrc001,4,1,empty,empty,1,field_out,9,1,5
2025-03-29,SLN202503290,MIN,"Buxton, Byron",buxtb001,4,2,empty,empty,1,strikeout,9,1,5
2025-03-30,SLN202503300,MIN,"Wallner, Matt",wallm001,1,0,empty,empty,1,walk,1,0,0
2025-03-30,SLN202503300,MIN,"Correa, Carlos",corrc001,1,0,1B,1B,1,field_out,1,0,0
2025-03-30,SLN202503300,MIN,"Buxton, Byron",buxtb001,1,1,2B,2B,1,single,1,0,0
2025-03-30,SLN202503300,MIN,"Larnach, Trevor",larnt001,1,1,2B,2B,1,field_out,1,1,0
2025-03-30,SLN202503300,MIN,"Jeffers, Ryan",jeffr002,1,2,3B,3B,1,field_out,1,1,0
2025-03-30,SLN202503300,MIN,"France, Ty",frant002,1,0,empty,empty,1,field_out,2,1,0
2025-03-30,SLN202503300,MIN,"Castro, Willi",castw003,1,1,empty,empty,1,field_out,2,1,0
2025-03-30,SLN202503300,MIN,"Miranda, Jose",miraj002,1,2,empty,empty,1,field_out,2,1,0
2025-03-30,SLN202503300,MIN,"Bader, Harrison",badeh001,1,0,empty,empty,1,field_out,3,1,3
2025-03-30,SLN202503300,MIN,"Wallner, Matt",wallm001,2,1,empty,empty,1,double,3,1,3
2025-03-30,SLN202503300,MIN,"Correa, Carlos",corrc001,2,1,2B,2B,1,walk,3,1,3
2025-03-30,SLN202503300,MIN,"Buxton, Byron",buxtb001,2,1,1B+2B,1B+2B,1,strikeout,3,1,3
2025-03-30,SLN202503300,MIN,"Larnach, Trevor",larnt001,2,2,1B+2B,1B+2B,1,field_out,3,1,3
2025-03-30,SLN202503300,MIN,"Jeffers, Ryan",jeffr002,2,0,empty,empty,1,field_out,4,1,8
2025-03-30,SLN202503300,MIN,"France, Ty",frant002,2,1,empty,empty,1,field_out,4,1,8
2025-03-30,SLN202503300,MIN,"Castro, Willi",castw003,2,2,empty,empty,1,home_run,4,1,8
2025-03-30,SLN202503300,MIN,"Miranda, Jose",miraj002,2,2,empty,empty,1,single,4,2,8
2025-03-30,SLN202503300,MIN,"Bader, Harrison",badeh001,2,2,1B,1B,1,field_out,4,2,8
2025-03-30,SLN202503300,MIN,"Wallner, Matt",wallm001,3,0,empty,empty,1,strikeout,5,2,8
2025-03-30,SLN202503300,MIN,"Correa, Carlos",corrc001,3,1,empty,empty,1,field_out,5,2,8
