game_date,game_pk,team,player_name,batter,batter_pa_number_this_game,outs_when_up,runner_situation_start,runner_situation_before_final_pitch,runner_situation_changed_during_pa,events,inning,bat_score,fld_score
2025-03-27,HOU202503270,NYN,"Lindor, Francisco",lindf001,1,0,empty,empty,1,field_out,1,0,0
2025-03-27,HOU202503270,NYN,"Soto, Juan",sotoj001,1,1,empty,empty,1,single,1,0,0
2025-03-27,HOU202503270,NYN,"Alonso, Pete",alonp001,1,1,1B,1B,1,walk,1,0,0
2025-03-27,HOU202503270,NYN,"Vientos, Mark",vienm001,1,1,1B+2B,1B+2B,1,field_out,1,0,0
2025-03-27,HOU202503270,NYN,"Nimmo, Brandon",nimmb001,1,2,2B+3B,2B+3B,1,field_out,1,0,0
2025-03-27,HOU202503270,NYN,"Marte, Starling",marts002,1,0,empty,empty,1,hit_by_pitch,2,0,0
2025-03-27,HOU202503270,NYN,"Taylor, Tyrone",taylt002,1,0,1B,1B,1,field_out,2,0,0
2025-03-27,HOU202503270,NYN,"Acuna, Luisangel",acunl001,1,1,1B,1B,1,field_out,2,0,0
2025-03-27,HOU202503270,NYN,"Torrens, Luis",torrl001,1,2,1B,1B,1,field_out,2,0,0
2025-03-27,HOU202503270,NYN,"Lindor, Francisco",lindf001,2,0,empty,empty,1,strikeout,3,0,1
2025-03-27,HOU202503270,NYN,"Soto, Juan",sotoj001,2,1,empty,empty,1,walk,3,0,1
2025-03-27,HOU202503270,NYN,"Alonso, Pete",alonp001,2,1,1B,1B,1,field_out,3,0,1
2025-03-27,HOU202503270,NYN,"Vientos, Mark",vienm001,2,2,1B,1B,1,field_out,3,0,1
2025-03-27,HOU202503270,NYN,"Nimmo, Brandon",nimmb001,2,0,empty,empty,1,strikeout,4,0,3
2025-03-27,HOU202503270,NYN,"Marte, Starling",marts002,2,1,empty,empty,1,field_out,4,0,3
2025-03-27,HOU202503270,NYN,"Taylor, Tyrone",taylt002,2,2,empty,empty,1,field_out,4,0,3
2025-03-27,HOU202503270,NYN,"Acuna, Luisangel",acunl001,2,0,empty,empty,1,field_out,5,0,3
2025-03-27,HOU202503270,NYN,"Torrens, Luis",torrl001,2,1,empty,empty,1,double,5,0,3
2025-03-27,HOU202503270,NYN,"Lindor, Francisco",lindf001,3,1,2B,2B,1,field_out,5,0,3
2025-03-27,HOU202503270,NYN,"Soto, Juan",sotoj001,3,0,2B,empty,0,field_out,6,0,3
2025-03-27,HOU202503270,NYN,"Alonso, Pete",alonp001,3,1,empty,empty,1,single,6,0,3
2025-03-27,HOU202503270,NYN,"Vientos, Mark",vienm001,3,1,1B,1B,1,grounded_into_double_play,6,0,3
2025-03-27,HOU202503270,NYN,"Nimmo, Brandon",nimmb001,3,0,empty,empty,1,single,7,0,3
2025-03-27,HOU202503270,NYN,"Marte, Starling",marts002,3,0,1B,1B,1,strikeout,7,0,3
2025-03-27,HOU202503270,NYN,"Taylor, Tyrone",taylt002,3,1,1B,1B,1,field_out,7,0,3
2025-03-27,HOU202503270,NYN,"Acuna, Luisangel",acunl001,3,2,1B,1B,1,strikeout,7,0,3
2025-03-27,HOU202503270,NYN,"Winker, Jesse",winkj002,1,0,empty,empty,1,field_out,8,0,3
2025-03-27,HOU202503270,NYN,"Lindor, Francisco",lindf001,4,1,empty,empty,1,strikeout,8,0,3
2025-03-27,HOU202503270,NYN,"Soto, Juan",sotoj001,4,2,empty,empty,1,walk,8,0,3
2025-03-27,HOU202503270,NYN,"Alonso, Pete",alonp001,4,2,1B,1B,1,walk,8,0,3
2025-03-27,HOU202503270,NYN,"Vientos, Mark",vienm001,4,2,1B+2B,2B+3B,0,walk,8,0,3
2025-03-27,HOU202503270,NYN,"Nimmo, Brandon",nimmb001,4,2,1B+2B+3B,1B+2B+3B,1,field_out,8,0,3
2025-03-27,HOU202503270,NYN,"Marte, Starling",marts002,4,0,empty,empty,1,single,9,0,3
2025-03-27,HOU202503270,NYN,"Taylor, Tyrone",taylt002,4,0,1B,1B,1,single,9,0,3
2025-03-27,HOU202503270,NYN,"Acuna, Luisangel",acunl001,4,0,1B+2B,1B+2B,1,walk,9,0,3
2025-03-27,HOU202503270,NYN,"Senger, Hayden",sengh001,1,0,1B+2B+3B,1B+2B+3B,1,strikeout,9,0,3
2025-03-27,HOU202503270,NYN,"Lindor, Francisco",lindf001,5,1,1B+2B+3B,1B+2B+3B,1,sac_fly,9,0,3
2025-03-27,HOU202503270,NYN,"Soto, Juan",sotoj001,5,2,1B+3B,1B+3B,1,strikeout,9,1,3
2025-03-28,HOU202503280,NYN,"Lindor, Francisco",lindf001,1,0,empty,empty,1,strikeout,1,0,0
2025-03-28,HOU202503280,NYN,"Soto, Juan",sotoj001,1,1,empty,empty,1,strikeout,1,0,0
2025-03-28,HOU202503280,NYN,"Alonso, Pete",alonp001,1,2,empty,empty,1,field_out,1,0,0
2025-03-28,HOU202503280,NYN,"Nimmo, Brandon",nimmb001,1,0,empty,empty,1,single,2,0,0
2025-03-28,HOU202503280,NYN,"Vientos, Mark",vienm001,1,0,1B,2B,0,double,2,0,0
2025-03-28,HOU202503280,NYN,"Winker, Jesse",winkj002,1,0,2B,2B,1,single,2,1,0
2025-03-28,HOU202503280,NYN,"Taylor, Tyrone",taylt002,1,0,1B,1B,1,grounded_into_double_play,2,2,0
2025-03-28,HOU202503280,NYN,"Baty, Brett",batyb001,1,2,empty,empty,1,field_out,2,2,0
2025-03-28,HOU202503280,NYN,"Torrens, Luis",torrl001,1,0,empty,empty,1,strikeout,3,2,0
2025-03-28,HOU202503280,NYN,"Lindor, Francisco",lindf001,2,1,empty,empty,1,field_out,3,2,0
2025-03-28,HOU202503280,NYN,"Soto, Juan",sotoj001,2,2,empty,empty,1,home_run,3,2,0
2025-03-28,HOU202503280,NYN,"Alonso, Pete",alonp001,2,2,empty,empty,1,strikeout,3,3,0
2025-03-28,HOU202503280,NYN,"Nimmo, Brandon",nimmb001,2,0,empty,empty,1,strikeout,4,3,0
2025-03-28,HOU202503280,NYN,"Vientos, Mark",vienm001,2,1,empty,empty,1,field_out,4,3,0
2025-03-28,HOU202503280,NYN,"Winker, Jesse",winkj002,2,2,empty,empty,1,walk,4,3,0
2025-03-28,HOU202503280,NYN,"Taylor, Tyrone",taylt002,2,2,1B,1B,1,field_out,4,3,0
2025-03-28,HOU202503280,NYN,"Baty, Brett",batyb001,2,0,empty,empty,1,strikeout,5,3,1
2025-03-28,HOU202503280,NYN,"Torrens, Luis",torrl001,2,1,empty,empty,1,strikeout,5,3,1
2025-03-28,HOU202503280,NYN,"Lindor, Francisco",lindf001,3,2,empty,empty,1,field_out,5,3,1
2025-03-28,HOU202503280,NYN,"Soto, Juan",sotoj001,3,0,empty,empty,1,walk,6,3,1
2025-03-28,HOU202503280,NYN,"Alonso, Pete",alonp001,3,0,1B,2B,0,walk,6,3,1
2025-03-28,HOU202503280,NYN,"Nimmo, Brandon",nimmb001,3,0,1B+2B,1B+2B,1,grounded_into_double_play,6,3,1
2025-03-28,HOU202503280,NYN,"Vientos, Mark",vienm001,3,2,3B,3B,1,field_out,6,3,1
2025-03-28,HOU202503280,NYN,"Winker, Jesse",winkj002,3,0,empty,empty,1,field_out,7,3,1
2025-03-28,HOU202503280,NYN,"Taylor, Tyrone",taylt002,3,1,empty,empty,1,strikeout,7,3,1
2025-03-28,HOU202503280,NYN,"Acuna, Luisangel",acunl001,1,2,empty,empty,1,strikeout,7,3,1
2025-03-28,HOU202503280,NYN,"Torrens, Luis",torrl001,3,0,empty,empty,1,double,8,3,1
2025-03-28,HOU202503280,NYN,"Lindor, Francisco",lindf001,4,0,2B,2B,1,hit_by_pitch,8,3,1
2025-03-28,HOU202503280,NYN,"Soto, Juan",sotoj001,4,0,1B+2B,1B+2B,1,field_out,8,3,1
2025-03-28,HOU202503280,NYN,"Alonso, Pete",alonp001,4,1,1B+2B,1B+2B,1,field_out,8,3,1
2025-03-28,HOU202503280,NYN,"Nimmo, Brandon",nimmb001,4,2,1B+3B,1B+3B,1,field_out,8,3,1
2025-03-28,HOU202503280,NYN,"Vientos, Mark",vienm001,4,0,empty,empty,1,field_out,9,3,1
2025-03-28,HOU202503280,NYN,"Winker, Jesse",winkj002,4,1,empty,empty,1,strikeout,9,3,1
2025-03-28,HOU202503280,NYN,"Taylor, Tyrone",taylt002,4,2,empty,empty,1,strikeout,9,3,1
2025-03-29,HOU202503290,NYN,"Lindor, Francisco",lindf001,1,0,empty,empty,1,field_out,1,0,0
