game_date,game_pk,team,player_name,batter,batter_pa_number_this_game,outs_when_up,runner_situation_start,runner_situation_before_final_pitch,runner_situation_changed_during_pa,events,inning,bat_score,fld_score
2025-03-27,WAS202503270,PHI,"Turner, Trea",turnt001,1,0,empty,empty,1,strikeout,1,0,0
2025-03-27,WAS202503270,PHI,"Harper, Bryce",harpb003,1,1,empty,empty,1,strikeout,1,0,0
2025-03-27,WAS202503270,PHI,"Bohm, Alec",bohma001,1,2,empty,empty,1,field_out,1,0,0
2025-03-27,WAS202503270,PHI,"Schwarber, Kyle",schwk001,1,0,empty,empty,1,single,2,0,0
2025-03-27,WAS202503270,PHI,"Realmuto, J. T.",realj001,1,0,1B,1B,1,strikeout,2,0,0
2025-03-27,WAS202503270,PHI,"Kepler, Max",keplm001,1,2,1B,empty,0,strikeout,2,0,0
2025-03-27,WAS202503270,PHI,"Castellanos, Nick",castn001,1,0,empty,empty,1,strikeout,3,0,0
2025-03-27,WAS202503270,PHI,"Stott, Bryson",stotb001,1,1,empty,empty,1,strikeout,3,0,0
2025-03-27,WAS202503270,PHI,"Marsh, Brandon",marsb002,1,2,empty,empty,1,strikeout,3,0,0
2025-03-27,WAS202503270,PHI,"Turner, Trea",turnt001,2,0,empty,empty,1,field_out,4,0,0
2025-03-27,WAS202503270,PHI,"Harper, Bryce",harpb003,2,1,empty,empty,1,strikeout,4,0,0
2025-03-27,WAS202503270,PHI,"Bohm, Alec",bohma001,2,2,empty,empty,1,strikeout,4,0,0
2025-03-27,WAS202503270,PHI,"Schwarber, Kyle",schwk001,2,0,empty,empty,1,strikeout,5,0,0
2025-03-27,WAS202503270,PHI,"Realmuto, J. T.",realj001,2,1,empty,empty,1,strikeout,5,0,0
2025-03-27,WAS202503270,PHI,"Kepler, Max",keplm001,2,2,empty,empty,1,strikeout,5,0,0
2025-03-27,WAS202503270,PHI,"Castellanos, Nick",castn001,2,0,empty,empty,1,field_out,6,0,1
2025-03-27,WAS202503270,PHI,"Stott, Bryson",stotb001,2,1,empty,empty,1,field_out,6,0,1
2025-03-27,WAS202503270,PHI,"Marsh, Brandon",marsb002,2,2,empty,empty,1,strikeout,6,0,1
2025-03-27,WAS202503270,PHI,"Turner, Trea",turnt001,3,0,empty,empty,1,field_out,7,0,1
2025-03-27,WAS202503270,PHI,"Harper, Bryce",harpb003,3,1,empty,empty,1,home_run,7,0,1
2025-03-27,WAS202503270,PHI,"Bohm, Alec",bohma001,3,1,empty,empty,1,strikeout,7,1,1
2025-03-27,WAS202503270,PHI,"Schwarber, Kyle",schwk001,3,2,empty,empty,1,home_run,7,1,1
2025-03-27,WAS202503270,PHI,"Realmuto, J. T.",realj001,3,2,empty,empty,1,strikeout,7,2,1
2025-03-27,WAS202503270,PHI,"Kepler, Max",keplm001,3,0,empty,empty,1,double,8,2,1
2025-03-27,WAS202503270,PHI,"Castellanos, Nick",castn001,3,0,2B,2B,1,single,8,2,1
2025-03-27,WAS202503270,PHI,"Stott, Bryson",stotb001,3,0,1B+3B,1B+3B,1,strikeout,8,2,1
2025-03-27,WAS202503270,PHI,"Marsh, Brandon",marsb002,3,1,1B+3B,1B+3B,1,strikeout,8,2,1
2025-03-27,WAS202503270,PHI,"Turner, Trea",turnt001,4,2,1B+3B,2B,0,walk,8,3,1
2025-03-27,WAS202503270,PHI,"Harper, Bryce",harpb003,4,2,1B+2B,1B+2B,1,field_out,8,3,1
2025-03-27,WAS202503270,PHI,"Bohm, Alec",bohma001,4,0,empty,empty,1,single,9,3,3
2025-03-27,WAS202503270,PHI,"Schwarber, Kyle",schwk001,4,0,1B,1B,1,field_out,9,3,3
2025-03-27,WAS202503270,PHI,"Realmuto, J. T.",realj001,4,1,2B,2B,1,strikeout,9,3,3
2025-03-27,WAS202503270,PHI,"Kepler, Max",keplm001,4,2,2B,2B,1,walk,9,3,3
2025-03-27,WAS202503270,PHI,"Castellanos, Nick",castn001,4,2,1B+2B,1B+2B,1,walk,9,3,3
2025-03-27,WAS202503270,PHI,"Stott, Bryson",stotb001,4,2,1B+2B+3B,1B+2B+3B,1,field_out,9,3,3
2025-03-27,WAS202503270,PHI,"Marsh, Brandon",marsb002,4,0,2B,2B,1,strikeout,10,3,3
