game_date,game_pk,team,player_name,batter,batter_pa_number_this_game,outs_when_up,runner_situation_start,runner_situation_before_final_pitch,runner_situation_changed_during_pa,events,inning,bat_score,fld_score
2025-03-27,MIA202503270,PIT,"Pham, Tommy",phamt001,1,0,empty,empty,1,strikeout,1,0,0
2025-03-27,MIA202503270,PIT,"Reynolds, Bryan",reynb001,1,1,empty,empty,1,field_out,1,0,0
2025-03-27,MIA202503270,PIT,"Cruz, Oneil",cruzo001,1,2,empty,empty,1,field_out,1,0,0
2025-03-27,MIA202503270,PIT,"Bart, Joey",bartj003,1,0,empty,empty,1,field_out,2,0,0
2025-03-27,MIA202503270,PIT,"McCutchen, Andrew",mccua001,1,1,empty,empty,1,field_out,2,0,0
2025-03-27,MIA202503270,PIT,"Gonzales, Nick",gonzn001,1,2,empty,empty,1,strikeout,2,0,0
2025-03-27,MIA202503270,PIT,"Rodriguez, Endy",rodre006,1,0,empty,empty,1,walk,3,0,0
2025-03-27,MIA202503270,PIT,"Hayes, Ke'Bryan",hayek001,1,0,1B,1B,1,strikeout,3,0,0
2025-03-27,MIA202503270,PIT,"Kiner-Falefa, Isiah",kinei001,1,1,1B,1B,1,strikeout,3,0,0
2025-03-27,MIA202503270,PIT,"Pham, Tommy",phamt001,2,2,1B,1B,1,strikeout,3,0,0
2025-03-27,MIA202503270,PIT,"Reynolds, Bryan",reynb001,2,0,empty,empty,1,field_out,4,0,1
2025-03-27,MIA202503270,PIT,"Cruz, Oneil",cruzo001,2,1,empty,empty,1,walk,4,0,1
2025-03-27,MIA202503270,PIT,"Bart, Joey",bartj003,2,1,1B,2B,0,field_out,4,0,1
2025-03-27,MIA202503270,PIT,"McCutchen, Andrew",mccua001,2,2,2B,2B,1,field_out,4,0,1
2025-03-27,MIA202503270,PIT,"Gonzales, Nick",gonzn001,2,0,empty,empty,1,strikeout,5,0,1
2025-03-27,MIA202503270,PIT,"Rodriguez, Endy",rodre006,2,1,empty,empty,1,strikeout,5,0,1
2025-03-27,MIA202503270,PIT,"Hayes, Ke'Bryan",hayek001,2,2,empty,empty,1,single,5,0,1
2025-03-27,MIA202503270,PIT,"Kiner-Falefa, Isiah",kinei001,2,2,1B,2B,0,walk,5,0,1
