game_date,game_pk,team,player_name,batter,batter_pa_number_this_game,outs_when_up,runner_situation_start,runner_situation_before_final_pitch,runner_situation_changed_during_pa,events,inning,bat_score,fld_score
2025-03-27,SDN202503270,SDN,"Tatis, Fernando",tatif002,1,0,empty,empty,1,single,1,0,1
2025-03-27,SDN202503270,SDN,"Arraez, Luis",arral001,1,0,1B,1B,1,field_out,1,0,1
2025-03-27,SDN202503270,SDN,"Machado, Manny",machm001,1,1,2B,2B,1,walk,1,0,1
2025-03-27,SDN202503270,SDN,"Bogaerts, Xander",bogax001,1,1,1B+3B,1B+3B,1,field_out,1,0,1
2025-03-27,SDN202503270,SDN,"Merrill, Jackson",merrj002,1,2,1B+3B,2B+3B,0,single,1,0,1
2025-03-27,SDN202503270,SDN,"Gurriel, Yuli",gurry001,1,2,1B,1B,1,field_out,1,2,1
2025-03-27,SDN202503270,SDN,"Cronenworth, Jake",cronj001,1,0,empty,empty,1,field_out,2,2,1
2025-03-27,SDN202503270,SDN,"Lockridge, Brandon",lockb001,1,1,empty,empty,1,strikeout,2,2,1
2025-03-27,SDN202503270,SDN,"Diaz, Elias",diaze005,1,2,empty,empty,1,single,2,2,1
2025-03-27,SDN202503270,SDN,"Tatis, Fernando",tatif002,2,2,1B,1B,1,strikeout,2,2,1
2025-03-27,SDN202503270,SDN,"Arraez, Luis",arral001,2,0,empty,empty,1,field_out,3,2,3
2025-03-27,SDN202503270,SDN,"Machado, Manny",machm001,2,1,empty,empty,1,double,3,2,3
2025-03-27,SDN202503270,SDN,"Bogaerts, Xander",bogax001,2,1,2B,2B,1,single,3,2,3
2025-03-27,SDN202503270,SDN,"Merrill, Jackson",merrj002,2,1,1B+3B,1B+3B,1,field_out,3,2,3
2025-03-27,SDN202503270,SDN,"Gurriel, Yuli",gurry001,2,2,2B,2B,1,strikeout,3,3,3
2025-03-27,SDN202503270,SDN,"Cronenworth, Jake",cronj001,2,0,empty,empty,1,strikeout,4,3,4
2025-03-27,SDN202503270,SDN,"Lockridge, Brandon",lockb001,2,1,empty,empty,1,field_out,4,3,4
2025-03-27,SDN202503270,SDN,"Diaz, Elias",diaze005,2,2,empty,empty,1,strikeout,4,3,4
2025-03-27,SDN202503270,SDN,"Tatis, Fernando",tatif002,3,0,empty,empty,1,single,5,3,4
2025-03-27,SDN202503270,SDN,"Arraez, Luis",arral001,3,0,1B,1B,1,sac_bunt,5,3,4
2025-03-27,SDN202503270,SDN,"Machado, Manny",machm001,3,1,2B,3B,0,strikeout,5,3,4
2025-03-27,SDN202503270,SDN,"Bogaerts, Xander",bogax001,3,2,3B,3B,1,strikeout,5,3,4
