game_date,game_pk,team,player_name,batter,batter_pa_number_this_game,outs_when_up,runner_situation_start,runner_situation_before_final_pitch,runner_situation_changed_during_pa,events,inning,bat_score,fld_score
2025-03-27,SEA202503270,SEA,"Robles, Victor",roblv001,1,0,empty,empty,1,field_out,1,0,0
2025-03-27,SEA202503270,SEA,"Rodriguez, Julio",rodrj007,1,1,empty,empty,1,strikeout,1,0,0
2025-03-27,SEA202503270,SEA,"Raleigh, Cal",ralec001,1,2,empty,empty,1,walk,1,0,0
2025-03-27,SEA202503270,SEA,"Arozarena, Randy",arozr001,1,2,1B,1B,1,field_out,1,0,0
2025-03-27,SEA202503270,SEA,"Raley, Luke",ralel001,1,0,empty,empty,1,strikeout,2,0,0
2025-03-27,SEA202503270,SEA,"Polanco, Jorge",polaj001,1,1,empty,empty,1,single,2,0,0
2025-03-27,SEA202503270,SEA,"Tellez, Rowdy",tellr001,1,1,1B,1B,1,hit_by_pitch,2,0,0
2025-03-27,SEA202503270,SEA,"Bliss, Ryan",blisr001,1,1,1B+2B,1B+2B,1,grounded_into_double_play,2,0,0
2025-03-27,SEA202503270,SEA,"Crawford, J. P.",crawj002,1,0,empty,empty,1,field_out,3,0,0
2025-03-27,SEA202503270,SEA,"Robles, Victor",roblv001,2,1,empty,empty,1,field_out,3,0,0
2025-03-27,SEA202503270,SEA,"Rodriguez, Julio",rodrj007,2,2,empty,empty,1,walk,3,0,0
2025-03-27,SEA202503270,SEA,"Raleigh, Cal",ralec001,2,2,1B,1B,1,field_out,3,0,0
2025-03-27,SEA202503270,SEA,"Arozarena, Randy",arozr001,2,0,empty,empty,1,strikeout,4,0,0
2025-03-27,SEA202503270,SEA,"Raley, Luke",ralel001,2,1,empty,empty,1,field_out,4,0,0
2025-03-27,SEA202503270,SEA,"Polanco, Jorge",polaj001,2,2,empty,empty,1,single,4,0,0
2025-03-27,SEA202503270,SEA,"Tellez, Rowdy",tellr001,2,2,1B,1B,1,strikeout,4,0,0
2025-03-27,SEA202503270,SEA,"Bliss, Ryan",blisr001,2,0,empty,empty,1,walk,5,0,1
2025-03-27,SEA202503270,SEA,"Crawford, J. P.",crawj002,2,0,1B,1B,1,strikeout,5,0,1
2025-03-27,SEA202503270,SEA,"Robles, Victor",roblv001,3,1,1B,1B,1,field_out,5,0,1
2025-03-27,SEA202503270,SEA,"Rodriguez, Julio",rodrj007,3,2,1B,3B,0,field_out,5,0,1
2025-03-27,SEA202503270,SEA,"Raleigh, Cal",ralec001,3,0,empty,empty,1,field_out,6,0,1
2025-03-27,SEA202503270,SEA,"Arozarena, Randy",arozr001,3,1,empty,empty,1,walk,6,0,1
2025-03-27,SEA202503270,SEA,"Raley, Luke",ralel001,3,1,1B,1B,1,single,6,0,1
2025-03-27,SEA202503270,SEA,"Polanco, Jorge",polaj001,3,1,1B+2B,1B+2B,1,sac_bunt,6,0,1
2025-03-27,SEA202503270,SEA,"Tellez, Rowdy",tellr001,3,2,2B+3B,2B+3B,1,strikeout,6,0,1
2025-03-27,SEA202503270,SEA,"Bliss, Ryan",blisr001,3,0,empty,empty,1,walk,7,0,1
2025-03-27,SEA202503270,SEA,"Crawford, J. P.",crawj002,3,0,1B,1B,1,walk,7,0,1
2025-03-27,SEA202503270,SEA,"Robles, Victor",roblv001,4,1,1B+2B,3B,0,sac_fly,7,0,1
2025-03-27,SEA202503270,SEA,"Rodriguez, Julio",rodrj007,4,2,empty,empty,1,field_out,7,1,1
2025-03-27,SEA202503270,SEA,"Raleigh, Cal",ralec001,4,0,empty,empty,1,strikeout,8,1,2
2025-03-27,SEA202503270,SEA,"Arozarena, Randy",arozr001,4,1,empty,empty,1,home_run,8,1,2
2025-03-27,SEA202503270,SEA,"Raley, Luke",ralel001,4,1,empty,empty,1,walk,8,2,2
2025-03-27,SEA202503270,SEA,"Polanco, Jorge",polaj001,4,1,1B,1B,1,home_run,8,2,2
2025-03-27,SEA202503270,SEA,"Tellez, Rowdy",tellr001,4,1,empty,empty,1,field_out,8,4,2
2025-03-27,SEA202503270,SEA,"Bliss, Ryan",blisr001,4,2,empty,empty,1,field_out,8,4,2
2025-03-28,SEA202503280,SEA,"Robles, Victor",roblv001,1,0,empty,empty,1,strikeout,1,0,0
2025-03-28,SEA202503280,SEA,"Rodriguez, Julio",rodrj007,1,1,empty,empty,1,strikeout,1,0,0
2025-03-28,SEA202503280,SEA,"Raleigh, Cal",ralec001,1,2,empty,empty,1,walk,1,0,0
2025-03-28,SEA202503280,SEA,"Arozarena, Randy",arozr001,1,2,1B,1B,1,field_out,1,0,0
2025-03-28,SEA202503280,SEA,"Garver, Mitch",garvm001,1,0,empty,empty,1,field_out,2,0,0
