game_date,game_pk,team,player_name,batter,batter_pa_number_this_game,outs_when_up,runner_situation_start,runner_situation_before_final_pitch,runner_situation_changed_during_pa,events,inning,bat_score,fld_score
2025-03-27,CIN202503270,SFN,"Wade, LaMonte",wadel001,1,0,empty,empty,1,field_out,1,0,0
2025-03-27,CIN202503270,SFN,"Adames, Willy",adamw002,1,1,empty,empty,1,strikeout,1,0,0
2025-03-27,CIN202503270,SFN,"Lee, Jung Hoo",lee-j001,1,2,empty,empty,1,strikeout,1,0,0
2025-03-27,CIN202503270,SFN,"Chapman, Matt",chapm001,1,0,empty,empty,1,strikeout,2,0,1
2025-03-27,CIN202503270,SFN,"Ramos, Heliot",ramoh002,1,1,empty,empty,1,strikeout,2,0,1
2025-03-27,CIN202503270,SFN,"Bailey, Patrick",bailp001,1,2,empty,empty,1,strikeout,2,0,1
2025-03-27,CIN202503270,SFN,"Flores, Wilmer",florw001,1,0,empty,empty,1,field_out,3,0,1
2025-03-27,CIN202503270,SFN,"Yastrzemski, Mike",yastm001,1,1,empty,empty,1,single,3,0,1
2025-03-27,CIN202503270,SFN,"Fitzgerald, Tyler",fitzt001,1,1,1B,1B,1,strikeout,3,0,1
2025-03-27,CIN202503270,SFN,"Wade, LaMonte",wadel001,2,2,1B,2B,0,strikeout,3,0,1
2025-03-27,CIN202503270,SFN,"Adames, Willy",adamw002,2,0,empty,empty,1,field_out,4,0,3
2025-03-27,CIN202503270,SFN,"Lee, Jung Hoo",lee-j001,2,1,empty,empty,1,walk,4,0,3
2025-03-27,CIN202503270,SFN,"Chapman, Matt",chapm001,2,1,1B,1B,1,field_out,4,0,3
2025-03-27,CIN202503270,SFN,"Ramos, Heliot",ramoh002,2,2,1B,1B,1,home_run,4,0,3
2025-03-27,CIN202503270,SFN,"Bailey, Patrick",bailp001,2,2,empty,empty,1,strikeout,4,2,3
2025-03-27,CIN202503270,SFN,"Flores, Wilmer",florw001,2,0,empty,empty,1,field_out,5,2,3
2025-03-27,CIN202503270,SFN,"Yastrzemski, Mike",yastm001,2,1,empty,empty,1,single,5,2,3
2025-03-27,CIN202503270,SFN,"Fitzgerald, Tyler",fitzt001,2,1,1B,1B,1,field_out,5,2,3
2025-03-27,CIN202503270,SFN,"Wade, LaMonte",wadel001,3,2,1B,1B,1,field_out,5,2,3
2025-03-27,CIN202503270,SFN,"Adames, Willy",adamw002,3,0,empty,empty,1,strikeout,6,2,3
2025-03-27,CIN202503270,SFN,"Lee, Jung Hoo",lee-j001,3,1,empty,empty,1,strikeout,6,2,3
2025-03-27,CIN202503270,SFN,"Chapman, Matt",chapm001,3,2,empty,empty,1,field_out,6,2,3
2025-03-27,CIN202503270,SFN,"Ramos, Heliot",ramoh002,3,0,empty,empty,1,strikeout,7,2,3
2025-03-27,CIN202503270,SFN,"Bailey, Patrick",bailp001,3,1,empty,empty,1,field_out,7,2,3
2025-03-27,CIN202503270,SFN,"Flores, Wilmer",florw001,3,2,empty,empty,1,strikeout,7,2,3
2025-03-27,CIN202503270,SFN,"Yastrzemski, Mike",yastm001,3,0,empty,empty,1,strikeout,8,2,3
2025-03-27,CIN202503270,SFN,"Fitzgerald, Tyler",fitzt001,3,1,empty,empty,1,strikeout,8,2,3
2025-03-27,CIN202503270,SFN,"Wade, LaMonte",wadel001,4,2,empty,empty,1,field_out,8,2,3
2025-03-27,CIN202503270,SFN,"Adames, Willy",adamw002,4,0,empty,empty,1,strikeout,9,2,3
2025-03-27,CIN202503270,SFN,"Lee, Jung Hoo",lee-j001,4,1,empty,empty,1,walk,9,2,3
2025-03-27,CIN202503270,SFN,"Chapman, Matt",chapm001,4,1,1B,1B,1,single,9,2,3
2025-03-27,CIN202503270,SFN,"Ramos, Heliot",ramoh002,4,1,1B+3B,1B+3B,1,strikeout,9,2,3
2025-03-27,CIN202503270,SFN,"Bailey, Patrick",bailp001,4,2,1B+3B,1B+3B,1,single,9,2,3
2025-03-27,CIN202503270,SFN,"Flores, Wilmer",florw001,4,2,1B+3B,1B+3B,1,home_run,9,3,3
2025-03-27,CIN202503270,SFN,"Yastrzemski, Mike",yastm001,4,2,empty,empty,1,strikeout,9,6,3
2025-03-29,CIN202503290,SFN,"Ramos, Heliot",ramoh002,1,0,empty,empty,1,field_out,1,0,0
2025-03-29,CIN202503290,SFN,"Adames, Willy",adamw002,1,1,empty,empty,1,field_out,1,0,0
2025-03-29,CIN202503290,SFN,"Lee, Jung Hoo",lee-j001,1,2,empty,empty,1,field_out,1,0,0
2025-03-29,CIN202503290,SFN,"Chapman, Matt",chapm001,1,0,empty,empty,1,field_out,2,0,0
2025-03-29,CIN202503290,SFN,"Flores, Wilmer",florw001,1,1,empty,empty,1,home_run,2,0,0
2025-03-29,CIN202503290,SFN,"Matos, Luis",matol002,1,1,empty,empty,1,double,2,1,0
2025-03-29,CIN202503290,SFN,"Bailey, Patrick",bailp001,1,1,2B,2B,1,field_out,2,1,0
2025-03-29,CIN202503290,SFN,"Schmitt, Casey",schmc003,1,2,2B,2B,1,hit_by_pitch,2,1,0
