game_date,game_pk,team,player_name,batter,batter_pa_number_this_game,outs_when_up,runner_situation_start,runner_situation_before_final_pitch,runner_situation_changed_during_pa,events,inning,bat_score,fld_score
2025-03-27,SLN202503270,SLN,"Nootbaar, Lars",nootl001,1,0,empty,empty,1,single,1,0,0
2025-03-27,SLN202503270,SLN,"Contreras, Willson",contw001,1,0,1B,2B,0,strikeout,1,0,0
2025-03-27,SLN202503270,SLN,"Donovan, Brendan",donob001,1,1,2B,2B,1,single,1,0,0
2025-03-27,SLN202503270,SLN,"Arenado, Nolan",arenn001,1,1,1B,1B,1,field_out,1,1,0
2025-03-27,SLN202503270,SLN,"Burleson, Alec",burla001,1,2,1B,1B,1,single,1,1,0
2025-03-27,SLN202503270,SLN,"Herrera, Ivan",herri001,1,2,1B+2B,1B+2B,1,field_out,1,1,0
2025-03-27,SLN202503270,SLN,"Walker, Jordan",walkj003,1,0,empty,empty,1,single,2,1,0
2025-03-27,SLN202503270,SLN,"Scott, Victor",scotv001,1,0,1B,2B,0,field_out,2,1,0
2025-03-27,SLN202503270,SLN,"Winn, Masyn",winnm001,1,1,2B,2B,1,field_out,2,1,0
2025-03-27,SLN202503270,SLN,"Nootbaar, Lars",nootl001,2,2,3B,3B,1,home_run,2,1,0
2025-03-27,SLN202503270,SLN,"Contreras, Willson",contw001,2,2,empty,empty,1,strikeout,2,3,0
2025-03-27,SLN202503270,SLN,"Donovan, Brendan",donob001,2,0,empty,empty,1,single,3,3,0
2025-03-27,SLN202503270,SLN,"Arenado, Nolan",arenn001,2,0,1B,1B,1,single,3,3,0
2025-03-27,SLN202503270,SLN,"Burleson, Alec",burla001,2,0,1B+2B,1B+2B,1,grounded_into_double_play,3,3,0
2025-03-27,SLN202503270,SLN,"Herrera, Ivan",herri001,2,2,3B,3B,1,single,3,3,0
2025-03-27,SLN202503270,SLN,"Walker, Jordan",walkj003,2,2,1B,1B,1,field_out,3,4,0
2025-03-27,SLN202503270,SLN,"Scott, Victor",scotv001,2,0,empty,empty,1,strikeout,4,4,0
2025-03-27,SLN202503270,SLN,"Winn, Masyn",winnm001,2,1,empty,empty,1,field_out,4,4,0
2025-03-27,SLN202503270,SLN,"Nootbaar, Lars",nootl001,3,2,empty,empty,1,field_out,4,4,0
2025-03-27,SLN202503270,SLN,"Contreras, Willson",contw001,3,0,empty,empty,1,field_out,5,4,2
2025-03-27,SLN202503270,SLN,"Donovan, Brendan",donob001,3,1,empty,empty,1,field_out,5,4,2
2025-03-27,SLN202503270,SLN,"Arenado, Nolan",arenn001,3,2,empty,empty,1,field_out,5,4,2
2025-03-27,SLN202503270,SLN,"Burleson, Alec",burla001,3,0,empty,empty,1,field_out,6,4,3
2025-03-27,SLN202503270,SLN,"Herrera, Ivan",herri001,3,1,empty,empty,1,double,6,4,3
2025-03-27,SLN202503270,SLN,"Walker, Jordan",walkj003,3,1,2B,2B,1,field_out,6,4,3
2025-03-27,SLN202503270,SLN,"Scott, Victor",scotv001,3,2,3B,3B,1,field_out,6,4,3
2025-03-27,SLN202503270,SLN,"Winn, Masyn",winnm001,3,0,empty,empty,1,strikeout,7,4,3
2025-03-27,SLN202503270,SLN,"Nootbaar, Lars",nootl001,4,1,empty,empty,1,field_out,7,4,3
2025-03-27,SLN202503270,SLN,"Contreras, Willson",contw001,4,2,empty,empty,1,field_out,7,4,3
2025-03-27,SLN202503270,SLN,"Donovan, Brendan",donob001,4,0,empty,empty,1,strikeout,8,4,3
2025-03-27,SLN202503270,SLN,"Arenado, Nolan",arenn001,4,1,empty,empty,1,home_run,8,4,3
2025-03-27,SLN202503270,SLN,"Burleson, Alec",burla001,4,1,empty,empty,1,field_out,8,5,3
2025-03-27,SLN202503270,SLN,"Herrera, Ivan",herri001,4,2,empty,empty,1,walk,8,5,3
2025-03-27,SLN202503270,SLN,"Walker, Jordan",walkj003,4,2,1B,1B,1,walk,8,5,3
2025-03-27,SLN202503270,SLN,"Scott, Victor",scotv001,4,2,1B+2B,1B+2B,1,field_out,8,5,3
2025-03-29,SLN202503290,SLN,"Nootbaar, Lars",nootl001,1,0,empty,empty,1,single,1,0,0
2025-03-29,SLN202503290,SLN,"Contreras, Willson",contw001,1,0,1B,1B,1,field_out,1,0,0
2025-03-29,SLN202503290,SLN,"Donovan, Brendan",donob001,1,1,2B,2B,1,field_out,1,0,0
2025-03-29,SLN202503290,SLN,"Arenado, Nolan",arenn001,1,2,2B,2B,1,single,1,0,0
2025-03-29,SLN202503290,SLN,"Burleson, Alec",burla001,1,2,1B,1B,1,field_out,1,1,0
2025-03-29,SLN202503290,SLN,"Herrera, Ivan",herri001,1,0,empty,empty,1,strikeout,2,1,1
2025-03-29,SLN202503290,SLN,"Walker, Jordan",walkj003,1,1,empty,empty,1,hit_by_pitch,2,1,1
2025-03-29,SLN202503290,SLN,"Scott, Victor",scotv001,1,1,1B,1B,1,strikeout,2,1,1
2025-03-29,SLN202503290,SLN,"Winn, Masyn",winnm001,1,2,1B,1B,1,strikeout,2,1,1
2025-03-29,SLN202503290,SLN,"Nootbaar, Lars",nootl001,2,0,empty,empty,1,hit_by_pitch,3,1,1
2025-03-29,SLN202503290,SLN,"Contreras, Willson",contw001,2,0,1B,1B,1,strikeout,3,1,1
2025-03-29,SLN202503290,SLN,"Donovan, Brendan",donob001,2,1,1B,1B,1,single,3,1,1
2025-03-29,SLN202503290,SLN,"Arenado, Nolan",arenn001,2,1,1B+2B,1B+2B,1,field_out,3,1,1
2025-03-29,SLN202503290,SLN,"Burleson, Alec",burla001,2,2,1B+2B,1B+2B,1,field_out,3,1,1
2025-03-29,SLN202503290,SLN,"Herrera, Ivan",herri001,2,0,empty,empty,1,strikeout,4,1,1
2025-03-29,SLN202503290,SLN,"Walker, Jordan",walkj003,2,1,empty,empty,1,single,4,1,1
2025-03-29,SLN202503290,SLN,"Scott, Victor",scotv001,2,2,1B,empty,0,single,4,1,1
2025-03-29,SLN202503290,SLN,"Winn, Masyn",winnm001,2,2,1B,2B,0,field_out,4,1,1
2025-03-29,SLN202503290,SLN,"Nootbaar, Lars",nootl001,3,0,empty,empty,1,field_out,5,1,1
