game_date,game_pk,team,player_name,batter,batter_pa_number_this_game,outs_when_up,runner_situation_start,runner_situation_before_final_pitch,runner_situation_changed_during_pa,events,inning,bat_score,fld_score
2025-03-28,TBA202503280,TBA,"Mead, Curtis",meadc001,1,0,empty,empty,1,field_out,1,0,0
2025-03-28,TBA202503280,TBA,"Diaz, Yandy",diazy001,1,1,empty,empty,1,field_out,1,0,0
2025-03-28,TBA202503280,TBA,"Lowe, Brandon",loweb001,1,2,empty,empty,1,strikeout,1,0,0
2025-03-28,TBA202503280,TBA,"Caminero, Junior",camij001,1,0,empty,empty,1,field_out,2,0,0
2025-03-28,TBA202503280,TBA,"Morel, Christopher",morec001,1,1,empty,empty,1,strikeout,2,0,0
2025-03-28,TBA202503280,TBA,"Jansen, Danny",jansd001,1,2,empty,empty,1,strikeout,2,0,0
2025-03-28,TBA202503280,TBA,"Lowe, Josh",lowej002,1,0,empty,empty,1,field_out,3,0,1
2025-03-28,TBA202503280,TBA,"DeLuca, Jonny",deluj001,1,1,empty,empty,1,field_out,3,0,1
2025-03-28,TBA202503280,TBA,"Walls, Taylor",wallt003,1,2,empty,empty,1,field_out,3,0,1
2025-03-28,TBA202503280,TBA,"Mead, Curtis",meadc001,2,0,empty,empty,1,strikeout,4,0,2
2025-03-28,TBA202503280,TBA,"Diaz, Yandy",diazy001,2,1,empty,empty,1,single,4,0,2
2025-03-28,TBA202503280,TBA,"Lowe, Brandon",loweb001,2,1,1B,1B,1,double_play,4,0,2
2025-03-28,TBA202503280,TBA,"Caminero, Junior",camij001,2,0,empty,empty,1,field_out,5,0,2
2025-03-28,TBA202503280,TBA,"Morel, Christopher",morec001,2,1,empty,empty,1,field_error,5,0,2
2025-03-28,TBA202503280,TBA,"Jansen, Danny",jansd001,2,1,1B,1B,1,strikeout,5,0,2
2025-03-28,TBA202503280,TBA,"Lowe, Josh",lowej002,2,2,1B,1B,1,single,5,0,2
2025-03-28,TBA202503280,TBA,"DeLuca, Jonny",deluj001,2,2,1B+3B,1B+3B,1,strikeout,5,0,2
2025-03-28,TBA202503280,TBA,"Walls, Taylor",wallt003,2,0,empty,empty,1,field_out,6,0,2
2025-03-28,TBA202503280,TBA,"Mead, Curtis",meadc001,3,1,empty,empty,1,strikeout,6,0,2
2025-03-28,TBA202503280,TBA,"Diaz, Yandy",diazy001,3,2,empty,empty,1,field_out,6,0,2
2025-03-28,TBA202503280,TBA,"Lowe, Brandon",loweb001,3,0,empty,empty,1,single,7,0,2
2025-03-28,TBA202503280,TBA,"Caminero, Junior",camij001,3,0,1B,1B,1,double,7,0,2
2025-03-28,TBA202503280,TBA,"Aranda, Jonathan",aranj001,1,0,2B+3B,2B+3B,1,sac_fly,7,0,2
2025-03-28,TBA202503280,TBA,"Jansen, Danny",jansd001,3,1,3B,3B,1,walk,7,1,2
2025-03-28,TBA202503280,TBA,"Caballero, Jose",cabaj001,1,1,1B+3B,1B+3B,1,single,7,1,2
2025-03-28,TBA202503280,TBA,"DeLuca, Jonny",deluj001,3,1,1B+2B,1B+2B,1,single,7,2,2
2025-03-28,TBA202503280,TBA,"Walls, Taylor",wallt003,3,1,1B+2B+3B,1B+2B+3B,1,strikeout,7,2,2
2025-03-28,TBA202503280,TBA,"Mead, Curtis",meadc001,4,2,1B+2B+3B,1B+2B+3B,1,field_out,7,2,2
2025-03-28,TBA202503280,TBA,"Diaz, Yandy",diazy001,4,0,empty,empty,1,field_out,8,2,2
2025-03-28,TBA202503280,TBA,"Lowe, Brandon",loweb001,4,1,empty,empty,1,field_out,8,2,2
2025-03-28,TBA202503280,TBA,"Caminero, Junior",camij001,4,2,empty,empty,1,strikeout,8,2,2
2025-03-28,TBA202503280,TBA,"Misner, Kameron",misnk001,1,0,empty,empty,1,home_run,9,2,2
2025-03-29,TBA202503290,TBA,"Diaz, Yandy",diazy001,1,0,empty,empty,1,field_out,1,0,0
2025-03-29,TBA202503290,TBA,"Lowe, Brandon",loweb001,1,1,empty,empty,1,field_out,1,0,0
2025-03-29,TBA202503290,TBA,"Caminero, Junior",camij001,1,2,empty,empty,1,single,1,0,0
2025-03-29,TBA202503290,TBA,"Aranda, Jonathan",aranj001,1,2,1B,1B,1,double,1,0,0
2025-03-29,TBA202503290,TBA,"Morel, Christopher",morec001,1,0,empty,empty,1,single,2,0,0
