game_date,game_pk,team,player_name,batter,batter_pa_number_this_game,outs_when_up,runner_situation_start,runner_situation_before_final_pitch,runner_situation_changed_during_pa,events,inning,bat_score,fld_score
2025-03-27,TEX202503270,TEX,"Semien, Marcus",semim001,1,0,empty,empty,1,strikeout,1,0,0
2025-03-27,TEX202503270,TEX,"Seager, Corey",seagc001,1,1,empty,empty,1,field_out,1,0,0
2025-03-27,TEX202503270,TEX,"Langford, Wyatt",langw001,1,2,empty,empty,1,walk,1,0,0
2025-03-27,TEX202503270,TEX,"Garcia, Adolis",garca005,1,2,1B,1B,1,field_out,1,0,0
2025-03-27,TEX202503270,TEX,"Burger, Jake",burgj001,1,0,empty,empty,1,walk,2,0,0
2025-03-27,TEX202503270,TEX,"Jung, Josh",jungj001,1,0,1B,1B,1,single,2,0,0
2025-03-27,TEX202503270,TEX,"Pillar, Kevin",pillk001,1,0,1B+2B,1B+2B,1,single,2,0,0
2025-03-27,TEX202503270,TEX,"Higashioka, Kyle",higak001,1,0,1B+2B,1B+2B,1,field_out,2,1,0
2025-03-27,TEX202503270,TEX,"Smith, Josh",smitj007,1,1,1B+2B,1B+2B,1,strikeout,2,1,0
2025-03-27,TEX202503270,TEX,"Semien, Marcus",semim001,2,2,1B+2B,1B+2B,1,field_out,2,1,0
2025-03-27,TEX202503270,TEX,"Seager, Corey",seagc001,2,0,empty,empty,1,strikeout,3,1,1
2025-03-27,TEX202503270,TEX,"Langford, Wyatt",langw001,2,1,empty,empty,1,field_out,3,1,1
2025-03-27,TEX202503270,TEX,"Garcia, Adolis",garca005,2,2,empty,empty,1,field_out,3,1,1
2025-03-27,TEX202503270,TEX,"Burger, Jake",burgj001,2,0,empty,empty,1,field_out,4,1,1
2025-03-27,TEX202503270,TEX,"Jung, Josh",jungj001,2,1,empty,empty,1,field_out,4,1,1
2025-03-27,TEX202503270,TEX,"Pillar, Kevin",pillk001,2,2,empty,empty,1,single,4,1,1
2025-03-27,TEX202503270,TEX,"Higashioka, Kyle",higak001,2,2,1B,1B,1,double,4,1,1
2025-03-27,TEX202503270,TEX,"Smith, Josh",smitj007,2,2,2B,2B,1,strikeout,4,2,1
2025-03-27,TEX202503270,TEX,"Semien, Marcus",semim001,3,0,empty,empty,1,single,5,2,2
2025-03-27,TEX202503270,TEX,"Seager, Corey",seagc001,3,0,1B,1B,1,grounded_into_double_play,5,2,2
2025-03-27,TEX202503270,TEX,"Langford, Wyatt",langw001,3,2,empty,empty,1,field_out,5,2,2
2025-03-27,TEX202503270,TEX,"Garcia, Adolis",garca005,3,0,empty,empty,1,field_out,6,2,2
2025-03-27,TEX202503270,TEX,"Burger, Jake",burgj001,3,1,empty,empty,1,field_out,6,2,2
2025-03-27,TEX202503270,TEX,"Jung, Josh",jungj001,3,2,empty,empty,1,single,6,2,2
2025-03-27,TEX202503270,TEX,"Pillar, Kevin",pillk001,3,2,1B,1B,1,field_out,6,2,2
2025-03-27,TEX202503270,TEX,"Higashioka, Kyle",higak001,3,0,empty,empty,1,field_out,7,2,2
2025-03-27,TEX202503270,TEX,"Smith, Josh",smitj007,3,1,empty,empty,1,field_out,7,2,2
2025-03-27,TEX202503270,TEX,"Semien, Marcus",semim001,4,2,empty,empty,1,strikeout,7,2,2
2025-03-27,TEX202503270,TEX,"Seager, Corey",seagc001,4,0,empty,empty,1,strikeout,8,2,2
2025-03-27,TEX202503270,TEX,"Langford, Wyatt",langw001,4,1,empty,empty,1,single,8,2,2
2025-03-27,TEX202503270,TEX,"Garcia, Adolis",garca005,4,1,1B,1B,1,field_out,8,2,2
2025-03-27,TEX202503270,TEX,"Burger, Jake",burgj001,4,2,1B,1B,1,field_out,8,2,2
2025-03-27,TEX202503270,TEX,"Jung, Josh",jungj001,4,0,empty,empty,1,strikeout,9,2,5
2025-03-27,TEX202503270,TEX,"Pederson, Joc",pedej001,1,1,empty,empty,1,field_out,9,2,5
2025-03-27,TEX202503270,TEX,"Higashioka, Kyle",higak001,4,2,empty,empty,1,field_out,9,2,5
2025-03-28,TEX202503280,TEX,"Semien, Marcus",semim001,1,0,empty,empty,1,field_out,1,0,0
2025-03-28,TEX202503280,TEX,"Seager, Corey",seagc001,1,1,empty,empty,1,single,1,0,0
2025-03-28,TEX202503280,TEX,"Langford, Wyatt",langw001,1,1,1B,1B,1,grounded_into_double_play,1,0,0
