game_date,game_pk,team,player_name,batter,batter_pa_number_this_game,outs_when_up,runner_situation_start,runner_situation_before_final_pitch,runner_situation_changed_during_pa,events,inning,bat_score,fld_score
2025-03-27,WAS202503270,WAS,"Abrams, CJ",abrac001,1,0,empty,empty,1,strikeout,1,0,0
2025-03-27,WAS202503270,WAS,"Wood, James",woodj004,1,1,empty,empty,1,field_out,1,0,0
2025-03-27,WAS202503270,WAS,"Garcia, Luis",garcl006,1,2,empty,empty,1,strikeout,1,0,0
2025-03-27,WAS202503270,WAS,"Bell, Josh",bellj005,1,0,empty,empty,1,strikeout,2,0,0
2025-03-27,WAS202503270,WAS,"Lowe, Nathaniel",lowen001,1,1,empty,empty,1,strikeout,2,0,0
2025-03-27,WAS202503270,WAS,"DeJong, Paul",dejop001,1,2,empty,empty,1,strikeout,2,0,0
2025-03-27,WAS202503270,WAS,"Ruiz, Keibert",ruizk001,1,0,empty,empty,1,single,3,0,0
2025-03-27,WAS202503270,WAS,"Crews, Dylan",crewd001,1,0,1B,1B,1,field_out,3,0,0
2025-03-27,WAS202503270,WAS,"Young, Jacob",younj004,1,1,1B,1B,1,grounded_into_double_play,3,0,0
2025-03-27,WAS202503270,WAS,"Abrams, CJ",abrac001,2,0,empty,empty,1,field_out,4,0,0
2025-03-27,WAS202503270,WAS,"Wood, James",woodj004,2,1,empty,empty,1,walk,4,0,0
2025-03-27,WAS202503270,WAS,"Garcia, Luis",garcl006,2,1,1B,1B,1,field_out,4,0,0
2025-03-27,WAS202503270,WAS,"Bell, Josh",bellj005,2,2,1B,1B,1,field_out,4,0,0
2025-03-27,WAS202503270,WAS,"Lowe, Nathaniel",lowen001,2,0,empty,empty,1,strikeout,5,0,0
2025-03-27,WAS202503270,WAS,"DeJong, Paul",dejop001,2,1,empty,empty,1,strikeout,5,0,0
2025-03-27,WAS202503270,WAS,"Ruiz, Keibert",ruizk001,2,2,empty,empty,1,home_run,5,0,0
2025-03-27,WAS202503270,WAS,"Crews, Dylan",crewd001,2,2,empty,empty,1,field_out,5,1,0
2025-03-27,WAS202503270,WAS,"Young, Jacob",younj004,2,0,empty,empty,1,walk,6,1,0
2025-03-27,WAS202503270,WAS,"Abrams, CJ",abrac001,3,0,1B,1B,1,strikeout,6,1,0
2025-03-27,WAS202503270,WAS,"Wood, James",woodj004,3,2,1B,empty,0,field_out,6,1,0
2025-03-27,WAS202503270,WAS,"Garcia, Luis",garcl006,3,0,empty,empty,1,double,7,1,2
2025-03-27,WAS202503270,WAS,"Bell, Josh",bellj005,3,0,2B,2B,1,field_out,7,1,2
2025-03-27,WAS202503270,WAS,"Lowe, Nathaniel",lowen001,3,1,2B,2B,1,single,7,1,2
2025-03-27,WAS202503270,WAS,"DeJong, Paul",dejop001,3,1,2B+3B,2B+3B,1,strikeout,7,1,2
2025-03-27,WAS202503270,WAS,"Ruiz, Keibert",ruizk001,3,2,2B+3B,2B+3B,1,field_out,7,1,2
2025-03-27,WAS202503270,WAS,"Crews, Dylan",crewd001,3,0,empty,empty,1,walk,8,1,3
2025-03-27,WAS202503270,WAS,"Young, Jacob",younj004,3,0,1B,1B,1,hit_by_pitch,8,1,3
2025-03-27,WAS202503270,WAS,"Abrams, CJ",abrac001,4,0,1B+2B,2B+3B,0,field_out,8,1,3
2025-03-27,WAS202503270,WAS,"Wood, James",woodj004,4,1,3B,3B,1,strikeout,8,2,3
2025-03-27,WAS202503270,WAS,"Garcia, Luis",garcl006,4,2,3B,3B,1,single,8,2,3
2025-03-27,WAS202503270,WAS,"Bell, Josh",bellj005,4,2,1B,2B,0,field_out,8,3,3
2025-03-27,WAS202503270,WAS,"Lowe, Nathaniel",lowen001,4,0,empty,empty,1,strikeout,9,3,3
2025-03-27,WAS202503270,WAS,"DeJong, Paul",dejop001,4,1,empty,empty,1,strikeout,9,3,3
2025-03-27,WAS202503270,WAS,"Ruiz, Keibert",ruizk001,4,2,empty,empty,1,field_out,9,3,3
2025-03-27,WAS202503270,WAS,"Crews, Dylan",crewd001,4,0,2B,2B,1,field_out,10,3,7
2025-03-27,WAS202503270,WAS,"Young, Jacob",younj004,4,1,2B,2B,1,strikeout,10,3,7
2025-03-27,WAS202503270,WAS,"Abrams, CJ",abrac001,5,2,2B,2B,1,field_out,10,3,7
2025-03-29,WAS202503290,WAS,"Abrams, CJ",abrac001,1,0,empty,empty,1,single,1,0,0
2025-03-29,WAS202503290,WAS,"Crews, Dylan",crewd001,1,0,1B,1B,1,strikeout,1,0,0
2025-03-29,WAS202503290,WAS,"Wood, James",woodj004,1,1,1B,2B,0,strikeout,1,0,0
2025-03-29,WAS202503290,WAS,"Bell, Josh",bellj005,1,2,2B,2B,1,field_out,1,0,0
2025-03-29,WAS202503290,WAS,"Rosario, Amed",rosaa003,1,0,empty,empty,1,single,2,0,0
2025-03-29,WAS202503290,WAS,"Lowe, Nathaniel",lowen001,1,0,1B,1B,1,strikeout,2,0,0
2025-03-29,WAS202503290,WAS,"Ruiz, Keibert",ruizk001,1,1,1B,1B,1,home_run,2,0,0
2025-03-29,WAS202503290,WAS,"DeJong, Paul",dejop001,1,1,empty,empty,1,strikeout,2,2,0
2025-03-29,WAS202503290,WAS,"Young, Jacob",younj004,1,2,empty,empty,1,walk,2,2,0
2025-03-29,WAS202503290,WAS,"Abrams, CJ",abrac001,2,2,1B,1B,1,strikeout,2,2,0
2025-03-29,WAS202503290,WAS,"Crews, Dylan",crewd001,2,0,empty,empty,1,strikeout,3,2,0
2025-03-29,WAS202503290,WAS,"Wood, James",woodj004,2,1,empty,empty,1,single,3,2,0
2025-03-29,WAS202503290,WAS,"Bell, Josh",bellj005,2,1,1B,2B,0,field_out,3,2,0
2025-03-29,WAS202503290,WAS,"Rosario, Amed",rosaa003,2,2,2B,2B,1,field_out,3,2,0
