team,player_name,batter,n,b,alpha,n_success,n_failure,n_excluded,n_rate,b_success,b_failure,b_excluded,b_rate,S,total_pa
CLE,"Arias, Gabriel",ariag002,106,365,0.29041095890410956,28,65,13,0.3010752688172043,67,276,22,0.19533527696793002,0.5763595646665725,471
CLE,"Brennan, Will",brenw002,2,11,0.18181818181818182,0,2,0,0.0,1,8,2,0.1111111111111111,-0.192673635781204,13
CLE,"Fry, David",fry-d001,55,102,0.5392156862745098,12,37,6,0.24489795918367346,13,84,5,0.13402061855670103,0.37011268948168446,157
CLE,"Halpin, Petey",halpp001,1,7,0.14285714285714285,0,0,1,,2,4,1,0.3333333333333333,,8
CLE,"Hedges, Austin",hedga001,42,138,0.30434782608695654,3,31,8,0.08823529411764706,22,101,15,0.17886178861788618,-0.1138297629297219,180
CLE,"Jones, Nolan",jonen002,102,301,0.3388704318936877,20,63,19,0.24096385542168675,55,220,26,0.2,0.4139890028782466,403
CLE,"Kayfus, C. J.",kayfc001,31,107,0.2897196261682243,6,23,2,0.20689655172413793,21,74,12,0.22105263157894736,-0.37093227135348206,138
CLE,"Kwan, Steven",kwans001,129,564,0.22872340425531915,37,80,12,0.3162393162393162,133,382,49,0.258252427184466,0.6157677786459045,693
CLE,"Manzardo, Kyle",manzk001,147,384,0.3828125,29,103,15,0.2196969696969697,81,262,41,0.23615160349854228,-0.2933649857042565,531
CLE,"Martinez, Angel",marta008,103,381,0.27034120734908135,22,70,11,0.2391304347826087,78,280,23,0.21787709497206703,0.4601643741833675,484
CLE,"Naylor, Bo",naylb001,103,311,0.3311897106109325,19,64,20,0.2289156626506024,51,231,29,0.18085106382978725,0.42186831850704126,414
CLE,"Noel, Jhonkensy",noelj001,32,121,0.2644628099173554,5,25,2,0.16666666666666666,19,100,2,0.15966386554621848,0.37981161543637126,153
CLE,"Nunez, Dom",nuned001,3,4,0.75,1,2,0,0.3333333333333333,1,3,0,0.25,0.2189680617699691,7
CLE,"Ramirez, Jose",ramij003,143,530,0.269811320754717,34,77,32,0.3063063063063063,134,353,43,0.2751540041067762,0.5252827048222626,673
CLE,"Rocchio, Brayan",roccb001,101,282,0.35815602836879434,22,64,15,0.2558139534883721,58,205,19,0.22053231939163498,0.3990462325339753,383
CLE,"Rodriguez, Johnathan",rodrj009,20,57,0.3508771929824561,5,14,1,0.2631578947368421,9,43,5,0.17307692307692307,0.47708011253695837,77
CLE,"Santana, Carlos",santc002,114,341,0.3343108504398827,23,76,15,0.23232323232323232,66,235,40,0.21926910299003322,0.37938787981468025,455
CLE,"Schneemann, Daniel",schnd002,94,328,0.2865853658536585,16,66,12,0.1951219512195122,62,236,30,0.2080536912751678,-0.3638457372121248,422
CLE,"Thomas, Lane",thoml002,33,109,0.30275229357798167,4,25,4,0.13793103448275862,16,82,11,0.16326530612244897,-0.27114220220195384,142
CLE,"Valera, George",valeg001,14,34,0.4117647058823529,4,7,3,0.36363636363636365,5,25,4,0.16666666666666666,0.5923157296177357,48
CLE,"Wilson, Will",wilsw003,27,64,0.421875,3,15,9,0.16666666666666666,12,48,4,0.2,-0.2013074130548316,91
