team,player_name,batter,n,b,alpha,n_success,n_failure,n_excluded,n_rate,b_success,b_failure,b_excluded,b_rate,S,total_pa
DET,"Baddoo, Akil",badda001,5,13,0.38461538461538464,1,3,1,0.25,1,12,0,0.07692307692307693,0.5777516712777215,18
DET,"Baez, Javier",baezj001,112,325,0.3446153846153846,31,78,3,0.28440366972477066,76,235,14,0.24437299035369775,0.43486633734266783,437
DET,"Carpenter, Kerry",carpk001,96,368,0.2608695652173913,14,74,8,0.1590909090909091,95,252,21,0.2737752161383285,-0.24269473420331159,464
DET,"Dingler, Dillon",dingd001,115,354,0.3248587570621469,29,70,16,0.29292929292929293,92,245,17,0.27299703264094954,0.4396330722192678,469
DET,"Greene, Riley",greer003,172,483,0.35610766045548653,38,123,11,0.2360248447204969,117,327,39,0.2635135135135135,-0.31740401881733166,655
DET,"Hicklen, Brewer",hickb003,2,2,1.0,1,0,1,1.0,1,1,0,0.5,0.4121881085079933,4
DET,"Ibanez, Andy",ibana001,54,139,0.38848920863309355,14,33,7,0.2978723404255319,28,102,9,0.2153846153846154,0.44942020708112546,193
DET,"Jones, Jahmai",jonej007,34,116,0.29310344827586204,11,16,7,0.4074074074074074,26,76,14,0.2549019607843137,0.6765570259165058,150
DET,"Jung, Jace",jungj002,9,46,0.1956521739130435,4,3,2,0.5714285714285714,1,39,6,0.025,1.3675119079967437,55
DET,"Keith, Colt",keitc001,102,366,0.2786885245901639,24,67,11,0.26373626373626374,82,245,39,0.25076452599388377,0.46257207725360344,468
DET,"Kreidler, Ryan",kreir001,10,34,0.29411764705882354,0,9,1,0.0,4,25,5,0.13793103448275862,-0.26669321613347,44
DET,"Malloy, Justyn-Henry",mallj001,34,93,0.3655913978494624,9,19,6,0.32142857142857145,14,64,15,0.1794871794871795,0.5526182007972674,127
DET,"Margot, Manuel",margm001,5,15,0.3333333333333333,2,3,0,0.4,4,11,0,0.26666666666666666,0.6042491524124689,20
DET,"McKinstry, Zach",mckiz001,130,381,0.34120734908136485,22,88,20,0.2,95,252,34,0.2737752161383285,-0.2510411093607189,511
DET,"Meadows, Parker",meadp001,42,171,0.24561403508771928,7,29,6,0.19444444444444445,34,122,15,0.21794871794871795,-0.3959625594417853,213
DET,"Nido, Tomas",nidot001,9,28,0.32142857142857145,2,6,1,0.25,10,17,1,0.37037037037037035,-0.2771088902017133,37
DET,"Perez, Wenceel",perew002,96,287,0.3344947735191638,17,70,9,0.19540229885057472,67,195,25,0.25572519083969464,-0.2665078425310709,383
DET,"Rogers, Jake",rogej004,32,110,0.2909090909090909,8,20,4,0.2857142857142857,15,82,13,0.15463917525773196,0.5996729050784547,142
DET,"Sweeney, Trey",sweet001,83,243,0.34156378600823045,15,62,6,0.19480519480519481,43,180,20,0.19282511210762332,0.33010215679206034,326
DET,"Torkelson, Spencer",torks001,155,494,0.31376518218623484,30,101,24,0.22900763358778625,105,332,57,0.2402745995423341,-0.3697689742824341,649
DET,"Torres, Gleyber",torrg001,130,498,0.26104417670682734,34,80,16,0.2982456140350877,102,323,73,0.24,0.5576350213204221,628
DET,"Vierling, Matt",vierm001,21,79,0.26582278481012656,6,12,3,0.3333333333333333,15,57,7,0.20833333333333334,0.6456375339107275,100
