team,player_name,batter,n,b,alpha,n_success,n_failure,n_excluded,n_rate,b_success,b_failure,b_excluded,b_rate,S,total_pa
LAN,"Barnes, Austin",barna001,8,36,0.2222222222222222,1,7,0,0.125,8,26,2,0.23529411764705882,-0.23549575223995672,44
LAN,"Betts, Mookie",bettm001,151,512,0.294921875,38,101,12,0.2733812949640288,114,346,52,0.24782608695652175,0.4644789845838183,663
LAN,"Call, Alex",calla002,20,65,0.3076923076923077,2,14,4,0.125,16,42,7,0.27586206896551724,-0.11055850333751586,85
LAN,"Conforto, Michael",confm001,117,369,0.3170731707317073,18,85,14,0.17475728155339806,65,253,51,0.20440251572327045,-0.2949640745415206,486
LAN,"Dean, Justin",deanj001,0,2,0.0,0,0,0,,0,2,0,0.0,,2
LAN,"Edman, Tommy",edmat001,87,290,0.3,23,58,6,0.2839506172839506,55,215,20,0.2037037037037037,0.5261718176160356,377
LAN,"Feduccia, Hunter",feduh001,3,0,,0,2,1,0.0,0,0,0,,,3
LAN,"Freeland, Alex",freea001,23,74,0.3108108108108108,4,15,4,0.21052631578947367,12,53,9,0.18461538461538463,0.39979292114861487,97
LAN,"Freeman, Freddie",freef001,161,466,0.34549356223175964,40,89,32,0.31007751937984496,124,308,34,0.28703703703703703,0.43197499933365907,627
LAN,"Hernandez, Enrique",herne001,74,182,0.4065934065934066,14,53,7,0.208955223880597,33,137,12,0.19411764705882353,0.3047901104100653,256
LAN,"Hernandez, Teoscar",hernt002,150,396,0.3787878787878788,38,101,11,0.2733812949640288,88,289,19,0.23342175066312998,0.39615203047879866,546
LAN,"Kennedy, Buddy",kennb002,4,14,0.2857142857142857,1,3,0,0.25,0,13,1,0.0,0.8672016480543249,18
LAN,"Kim, Hyeseong",kim-h003,36,134,0.26865671641791045,13,21,2,0.38235294117647056,32,95,7,0.25196850393700787,0.6742326177379105,170
LAN,"Muncy, Max",muncm001,109,279,0.3906810035842294,25,64,20,0.2808988764044944,51,178,50,0.22270742358078602,0.4108261381698249,388
LAN,"Ohtani, Shohei",ohtas001,135,592,0.22804054054054054,23,72,40,0.24210526315789474,149,369,74,0.2876447876447876,-0.4504973524483594,727
LAN,"Outman, James",outmj002,10,34,0.29411764705882354,1,8,1,0.1111111111111111,3,27,4,0.1,0.29788285970476963,44
LAN,"Pages, Andy",pagea001,159,465,0.3419354838709677,45,102,12,0.30612244897959184,113,327,25,0.25681818181818183,0.46052030823636464,624
LAN,"Robinson, Chuckie",robic003,2,0,,0,1,1,0.0,0,0,0,,,2
LAN,"Rojas, Miguel",rojam002,74,243,0.3045267489711934,16,50,8,0.24242424242424243,60,164,19,0.26785714285714285,-0.37637446903135885,317
LAN,"Rortvedt, Ben",rortb001,15,43,0.3488372093023256,2,8,5,0.2,9,30,4,0.23076923076923078,-0.28999301446201925,58
LAN,"Rosario, Eddie",rosae001,1,3,0.3333333333333333,0,1,0,0.0,1,2,0,0.3333333333333333,-0.4379361235399373,4
LAN,"Ruiz, Esteury",ruize001,6,17,0.35294117647058826,1,4,1,0.2,3,13,1,0.1875,0.3377328181655448,23
LAN,"Rushing, Dalton",rushd001,48,107,0.4485981308411215,11,34,3,0.24444444444444444,18,81,8,0.18181818181818182,0.35518805621932936,155
LAN,"Smith, Will",smitw003,123,313,0.3929712460063898,32,68,23,0.32,75,192,46,0.2808988764044944,0.40696214733861324,436
LAN,"Taylor, Chris",taylc001,10,25,0.4,3,7,0,0.3,4,21,0,0.16,0.5147092695493881,35
