game_date,game_pk,team,player_name,batter,batter_pa_number_this_game,outs_when_up,runner_situation_start,runner_situation_before_final_pitch,runner_situation_changed_during_pa,events
2026-07-01,824419,CLE,"Fry, David",681807,1,0,empty,empty,1,strikeout
2026-07-01,824419,CLE,"DeLauter, Chase",800050,1,1,empty,empty,1,double
2026-07-01,824419,CLE,"Hoskins, Rhys",656555,1,1,2B,2B,1,strikeout
2026-07-01,824419,CLE,"Manzardo, Kyle",700932,1,2,2B,2B,1,field_out
2026-07-01,824419,CLE,"Rocchio, Brayan",677587,1,0,empty,empty,1,single
2026-07-01,824419,CLE,"Arias, Gabriel",672356,1,0,1B,1B,1,single
2026-07-01,824419,CLE,"Watson, Kahlil",696135,1,0,1B+3B,1B+3B,1,strikeout
2026-07-01,824419,CLE,"Hedges, Austin",595978,1,1,1B+3B,1B+3B,1,sac_bunt
2026-07-01,824419,CLE,"Schneemann, Daniel",682177,1,1,1B+2B,1B+2B,1,walk
2026-07-01,824419,CLE,"Fry, David",681807,2,1,1B+2B+3B,2B+3B,0,home_run
2026-07-01,824419,CLE,"DeLauter, Chase",800050,2,1,empty,empty,1,field_out
2026-07-01,824419,CLE,"Hoskins, Rhys",656555,2,2,empty,empty,1,strikeout
2026-07-01,824419,CLE,"Manzardo, Kyle",700932,2,0,empty,empty,1,single
2026-07-01,824419,CLE,"Rocchio, Brayan",677587,2,0,1B,1B,1,strikeout
2026-07-01,824419,CLE,"Arias, Gabriel",672356,2,1,1B,1B,1,field_out
2026-07-01,824419,CLE,"Watson, Kahlil",696135,2,2,1B,1B,1,double
2026-07-01,824419,CLE,"Hedges, Austin",595978,2,2,2B+3B,2B+3B,1,field_out
2026-07-01,824419,CLE,"Schneemann, Daniel",682177,2,0,empty,empty,1,field_out
2026-07-01,824419,CLE,"Fry, David",681807,3,1,empty,empty,1,field_out
2026-07-01,824419,CLE,"DeLauter, Chase",800050,3,2,empty,empty,1,single
2026-07-01,824419,CLE,"Hoskins, Rhys",656555,3,2,1B,1B,1,field_out
2026-07-01,824419,CLE,"Manzardo, Kyle",700932,3,0,empty,empty,1,strikeout
2026-07-01,824419,CLE,"Rocchio, Brayan",677587,3,1,empty,empty,1,field_out
2026-07-01,824419,CLE,"Arias, Gabriel",672356,3,2,empty,empty,1,strikeout
2026-07-01,824419,CLE,"Watson, Kahlil",696135,3,0,empty,empty,1,field_out
2026-07-01,824419,CLE,"Hedges, Austin",595978,3,1,empty,empty,1,field_out
2026-07-01,824419,CLE,"Schneemann, Daniel",682177,3,2,empty,empty,1,field_out
2026-07-01,824419,CLE,"Kwan, Steven",680757,1,0,empty,empty,1,triple
2026-07-01,824419,CLE,"DeLauter, Chase",800050,4,0,3B,3B,1,single
2026-07-01,824419,CLE,"Hoskins, Rhys",656555,4,0,1B,3B,0,walk
2026-07-01,824419,CLE,"Manzardo, Kyle",700932,4,0,1B,1B,1,field_out
2026-07-01,824419,CLE,"Rocchio, Brayan",677587,4,1,1B,1B,1,field_out
